책 이름,작가,장르,ISBN,책 소개
꽃을 보듯 너를 본다,나태주,"국내도서
 > 
시/에세이
 > 
한국시
 > 
현대시",9.79116E+12,"만인의 심금을 울릴 수 있는 서정시의 진수
블랙핑크(BLACKPINK)의 지수와 세계적인 보컬 그룹인 방탄소년단(BTS)의 RM, 송혜교와 박보검 등은 물론 전국민의 애송시인 [풀꽃]이 수록되어있는 나태주 시집 [꽃을 보듯 너를 본다]. “자세히 보아야/ 예쁘다//오래 보아야/사랑스럽다//너도 그렇다.” 나태주 시인의 [풀꽃]은 전국민의 애송시라고 해도 과언이 아니다. 순수하고 꾸밈없는 시어들은 풀꽃의 시처럼 독자들에게 꾸준히 읽히면 더 큰 사랑을 받게 됐다. 평범한 것에 아름다움을 보는 눈, 별 볼일 없다고 생각했던 무언가를 다시보게 하는 힘이 이 시집에 있다."
내가 네번째로 사랑하는 계절,한정원,"국내도서
 > 
시/에세이
 > 
나라별 에세이
 > 
한국에세이",9.79119E+12,"난다의 시의적절, 그 여덟번째 이야기!시인 한정원이 매일매일 그러모은8월의, 8월에 의한, 8월을 위한단 한 권의 읽을거리
하루 한 편, 한 달 한 권, 1년 365일의 읽을거리를 쌓아가는 ‘시의적절’ 시리즈, 한정원 시인의 8월을 만난다. 마냥 사랑할 수만은 없는 무더운 여름, 어쩐지 미심쩍고도 미진한 이 마음을 두고 『내가 네번째로 사랑하는 계절』이라 말하는 시인. 한껏 미움을 대신해 조금의 사랑을 말하는 시인. 그러니까 시인에겐 8월은 여름보다도 여름의 흔적으로 향하는 시선이다. 햇볕 뒤편의 나무 그늘, 여름비가 고여든 웅덩이, 침묵으로 향하는 종소리 같은 것.『시와 산책』(시간의 흐름, 2020) 이후 4년 만의 산문임에, 네 번의 계절을 돌며 시인은 “겨울을 겨울의 마음으로” 바라보았을 테다. 계절의 마음으로 시와 산문을 쓰고, 어떤 흔적은 사진으로 담았다. 불볕더위 속 잠깐 돌리는 숨처럼, 그런 구멍처럼, 열어둔 여백마다 시간이 쌓인다. 그야 물론, 시인에게 침묵이야말로 본향(本鄕)일 테니까. 이제 네번째 여름을 지나, 여름을 기억하며, 다만 코끝에 귓가에 오래도록 남아 있을 여름의 흔적을 더듬는 일. 오래도록 어루만지는 일. 그리하여 이제 가벼이 일어서, 흐르는 계절의 뒤를 조용히 따라 걸을 그런 책.존재 말고 존재의 그림자를 더듬은 흔적. 사람의 꼬리뼈와 세번째 눈꺼풀, 고래의 뒷다리와 같이 절멸하고도 남은 선. 8월은 내게 그런 선이다. 그런 선을 꼭 쥐고 잠을 자고 잠을 자지 못하는 시간이다. 작은 더위와 큰 더위를 지나 잔서, 한풀 수그러든 열렬과 열심, 피로를 견디는 어떤 얼굴 어떤 지경으로 꾸려진 낮밤들. 이제 없는 것들의 기원에 골몰하고, 오로지 지금이 끝이 아니라는 것을 확인하기 위해 미래를 기다리는 하루하루.일곱 달을 잃고, 나는 붓을 든다. 곧 가뭇없을 8월, 7월과 9월 사이의 그림자를 붙잡으려고. 그 시도는 실패가 자명하다. 어떻든 시간은 붙잡히지 않을 것이므로. 그렇더라도.없어질 한 사람을 어루만지듯이.─본문 중에서"
토마토 컵라면(스페셜 에디션),차정은,"국내도서
 > 
시/에세이
 > 
한국시
 > 
현대시",9.79114E+12,"미화되는 계절, 가장 사랑했던 어느 여름날의 추억을 시로써 풀어냈다. 사랑했던 한여름의 태양이 타오르고, 한철 식어버린 여름의 아름다운 부분을 이야기했다. 뜨겁게 내려오는 땀줄기가 보이지 않는 듯, 여름과의 깊은 사랑을 가볍게 눌러 담았다.여름은 뜨겁고 습하고 끈적거리는 계절을 한탄하지만, 겨울은 여름의 따뜻한 시선을 시샘한다. 우리는 한탄하고 시샘하는 여름에 무슨 추억을 남겼는지 더위가 다 지고 나서야 알아차린다. 여름의 텁텁하고 서투른 글자들에 한철 식은 추억을 하나둘 눌러 담았다. 나의 사랑 가득한 여름 이야기에는 언제나 쌉쌀한 토마토의 향기가 잔뜩 퍼진다."
당근밭 걷기,안희연,"국내도서
 > 
시/에세이
 > 
한국시
 > 
현대시",9.79114E+12,"“한 사람을 구하는 일은한 사람 안에 포개진 두 사람을 구하는 일이라는 거”그럼에도 불구하고 삶은 굉장한 것빛 쪽으로 한 걸음 더 내딛겠다는 의지와 다짐
생의 감각을 일깨우고자 하는 염원을 담아 슬픔도 결핍도 정면으로 마주하며 섬세하고 정확한 문장으로 담아내는 안희연 시인, 그의 네번째 시집 『당근밭 걷기』가 문학동네시인선 214번으로 출간되었다.이번 시집은 ‘여름 언덕’에서 내려와 ‘당근밭’을 걸으며 보다 겸허한 마음으로 삶의 신비와 여분의 희망을 건져올리려 애쓴 시인의 지난 4년을 담고 있다."
나는 오래된 거리처럼 너를 사랑하고,진은영,"국내도서
 > 
시/에세이
 > 
한국시
 > 
현대시",9.78893E+12,"“한 사람을 조금 덜 외롭게 해보려고 애쓰던 시간들이 흘러갔다.”우리 삶 속에 상실과 슬픔을 끌어안는 사랑의 공통감각  십 년을 기다려온 단 하나의 온전한 고백누추한 현실에서 불현듯 아름다움을 발견하는시인 진은영 10년 만의 신작 시집
2000년 『문학과사회』로 등단한 이후 시집 『일곱 개의 단어로 된 사전』(2003), 『우리는 매일매일』(2008), 『훔쳐가는 노래』(2012)를 차례로 선보이며, 감각적인 은유와 선명한 이미지로 낡고 익숙한 일상을 재배치하는 한편 동시대의 현실에 밀착한 문제의식을 철학적 사유와 시적 정치성으로 풀어내온 진은영 시인이 10년 만에 신작 시집 『나는 오래된 거리처럼 너를 사랑하고』(문학과지성사, 2022)를 펴냈다. 시(인)의 사회적 위치와 기능을 묻는 한 강연에서 “시인은 침묵함으로써 대화하는 사람”이라고 진은영은 말한 바 있다. 공동체에서 잘 드러나지 않는 목소리와 다양한 삶의 문제들에 귀를 기울여 그들의 삶을 문학적으로 가시화하는 일, 그 어렵고 힘든 일을 이번 시집에 묶인 42편의 강렬하고 감각적인 시들이 저마다 아름답게 해내고 있다. 결핍으로 가득 찬 과거와 불안하고 비탄스러운 현실 속의 우리는 진은영의 시와 함께 “손을 잡고 어둠을 헤엄치고 빛 속을”(「어울린다」) 걸어 미래로 나아간다. 고통의 쓴잔을 나눠 마시며 서로의 외로움을 달래는 사랑의 힘으로. “사랑과 저항은 하나이고 사랑과 치유도 하나라고 이 시집 전체가 작게 말하고 있을 뿐, 어떤 시도 직접적으로 크게 말하고 있진 않다. 진은영의 정련된 이미지들 뒤에는 얼마나 많은 사유와 감정이 들끓고 있는가. 더 중요한 것은 사유와 감정이 하나의 언어로 표현된다는 것이다. 아름다움(예술)은 인간을 ‘해결’하는 사랑의 작업이 되고, 그렇게 치유되면서 우리는 ‘해결되지 않는 분쟁’과 다시 맞설 힘을 얻게 된다. 아름다운 세상에 대한 꿈을 포기할 수 없게 만드는 아름다움, 진은영은 그런 것을 가졌다.” -신형철, 해설 「사랑과 하나인 것들: 저항, 치유, 예술」에서"
그대는 나의 여름이 되세요,서덕준,"국내도서
 > 
시/에세이
 > 
한국시
 > 
현대시",9.79117E+12,"“사랑한다는 말 대신 이 시를 선물하고 싶어요”시를 통해 ‘숨’과 ‘쉼’을 선물하는 작가, 서덕준의 첫 시집 사랑의 모든 계절에서 써 내려간 141편의 고백
선명하고 세밀한 사랑의 언어로 수많은 구독자의 찬사를 받아온 서덕준 시인의 첫 시집이 출간됐다. 구독자들의 출간 요청 8년 만에 전격 발간된 『그대는 나의 여름이 되세요』는 사랑에 대한 뜨거운 찬미, 청춘의 내밀한 초상을 밀도 있게 선보인다. 무언가를 애타게 갈망하는 마음부터 한 사람을 그림자까지 오롯이 부둥켜안는 마음, 남겨진 슬픔을 조용히 집어삼키는 밤, 빛바랜 추억을 담담히 배웅하는 애틋한 시선까지, 사랑의 모든 계절이 파노라마처럼 생생히 펼쳐진다.「도둑이 든 여름」에서 내가 가진 모든 빛을 줄 테니 나의 여름이 되어달라 구애했던 시인은 이제 공들여 만든 이 한 권의 시집으로 독자들에게 오색찬란한 빛을 선사한다. 사랑을 하고 있든 사랑할 것을 잃어버렸든, 그의 시는 모든 영혼에 유효한 힘을 발휘한다. 나눌수록 화창하고, 읽을수록 다정하고, 기억할수록 따스한 빛으로써."
인생의 역사,신형철,"국내도서
 > 
시/에세이
 > 
나라별 에세이
 > 
한국에세이",9.79119E+12,"2023 서울국제도서전 〈다시, 이 책〉 선정작“나는 인생의 육성이라는 게 있다면 그게 곧 시라고 믿고 있다.”4년 만에 선보이는 평론가 신형철의 신작
* 『인생의 역사』 초판 한정으로 출고된 양장본은 현재 소진되어, 2쇄부터 무선본으로 출고되오니 도서 구입시 참고 부탁드립니다.▣ 2023 서울국제도서전 〈다시, 이 책〉 선정신형철 평론가의 시화(詩話) 『인생의 역사』를 2023 서울국제도서전 리커버 에디션으로 선보인다. 도서전 프로그램 〈다시, 이 책〉의 일환으로, 책이 가진 물성, 북디자이너의 감상 팁을 천천히 살펴보면서 책을 마주할 때의 첫 느낌, 첫 기억을 새로이 새겨보자는 취지에서다. 서울국제도서전을 통해 최초 공개되는 이번 에디션은 박서보 화백의 또다른 작품 〈묘법 No.130119〉을 실었다. 일반판과 동네서점 에디션에 이어 세번째 ‘묘법(描法, ?criture)’이니, 인생이라는 무한한 스펙트럼 가운데 다채의 또 한 면을 담아냈다.『인생의 역사』는 그 제목이 저자의 입에서 처음 흘러나온 그 순간부터 마지막 만듦새가 완성될 때까지 박서보 화백의 화집에서 손을 못 놓게, 참으로 손을 모자라게 만든 책이었다. 수많은 작품 앞에서 오래 입술을 뜯은 건 이 그림을 ‘얼굴’로 저 그림을 ‘몸’으로 우리 책의 ‘정신’을 보임에 어떤 부연이라는 게 일절 필요하지 않은 까닭이었다. 작위를 모르고 자연을 따르는 책의 주제라 할 ‘시’가 큰 역할을 한다면, 평생 붓을 등뼈로 인생을 곧추세워온 박서보 화백의 ‘삶’을 시에 비유하는 데도 큰 무리가 없어서였을 것이다. 그리하여 이번 여름 서울국제도서전을 맞아, 작년 가을 신형철 평론가가 표지로 삼고 싶다 간절히 바랐던 작품을 심는다. 묵음은 깊음이라는 믿음으로.▣ 리커버 디자이너 노트책의 디자인을 시작하며 가장 먼저 한 일은 기지재단의 배려로 박서보 화백의 아카이브에 담긴 엄청난 양의 그림을 훑는 것이었다. 모니터로 그림을 보는 일은 즐겁지만 그럴수록 불안감이 번져갔다. 작품을, 그것도 대작을(다른 누구도 아닌 박서보 화백 아닌가!) 공장 인쇄기로 다량의 종이 위에 구현한다는 건 애초 여러 한계를 운명으로 하는 탓이다.초판을 출간할 적에 동네서점과 일반서점, 두 작품을 어렵사리 골랐던 기억이 난다. 다행히 이번 디자인은 당시 저자가 원했던 그림을 베이스로 하게 되어 폰트와 그 위치, 이를 잘 담아낼 종이에 대한 욕심 정도로 고민의 폭을 크게 좁힐 수 있었다.신형철이라는 이름과 박서보라는 이름이 어느 한쪽으로도 치우치지 않게, 팽팽한 균형감을 가질 수 있게 조화를 이루려면 디자인 요소를 최소한으로 줄이는 일이 시급함을 재확인할 수 있었다.간만에 작업 일지를 폈다. “세련을 겪고 나면 심플함에 다다른다”라는 문장이 거기 적혀 있었다. 이 문장을 다시 읽으려 이번 리커버를 작업하게 된 것인지도 모르겠다.우리 문학을 향한 ‘정확한 사랑’이자 시대를 읽는 탁월한 문장, 평론가 신형철이 4년 만의 신작으로 돌아왔다. 다섯번째 책이자 처음으로 선보이는 ‘시화(詩話)’임에 그 제목을 『인생의 역사』라 달았다. 저자 스스로 ‘거창한 제목’이라 말하지만, 그 머리에 ‘인생’과 ‘역사’가 나란한 까닭은 간명하다. 시를 이루는 행(行)과 연(聯), 걸어가면서 쌓여가는 일. 우리네 인생이, 삶들의 역사가 그러한 것처럼.총 5부에 걸쳐 동서고금 스물다섯 편의 시를 꼽아 실었다. 상고시가인 「공무도하가」부터 이영광 시인의 「사랑의 발명」까지, 역사의 너비와 깊이를 한데 아우르는 시들이다. 시 한 편마다 하나의 인생이 담겼음에, 이를 풀어 ‘알자’ 하는 대신 다시 ‘겪자’ 하는 저자의 산문을 나란히 더했다. 여기에 부록으로 묶은 다섯 편의 글은 시의 안팎을 보다 자유로이 오가며 써낸 기록이다. 시를 함께 읽고자 함이나 그 독법을 가르치는 글은 아니다. 직접 겪은 삶을 시로 받아들이는 일, 그리하여 시를 통해 인생을 살아내는 이야기라 하겠다. 저자의 말대로 시를 읽는 일은 “아는 것이 아니라 겪는 것”일 터이므로. ‘시’는 그다지 대단하지 않은 대단한 예술이다. 시는 행(行)과 연(聯)으로 이루어진다. 걸어갈 행, 이어질 연. 글자들이 옆으로 걸어가면서(行) 아래로 쌓여가는(聯) 일이 뭐 그리 대단할 게 있겠는가. 그런데 나는 인생의 육성이라는 게 있다면 그게 곧 시라고 믿고 있다. 걸어가면서 쌓여가는 건 인생이기도 하니까. 그런 의미에서 인생도 행과 연으로 이루어지니까. (7쪽)* 『인생의 역사』 초판 한정으로 출고된 양장본은 현재 소진되어, 2쇄부터 무선본으로 출고되오니 도서 구입시 참고 부탁드립니다."
누군가를 이토록 사랑한 적,이병률,"국내도서
 > 
시/에세이
 > 
한국시
 > 
현대시",9.78893E+12,"“당신 눈 속에 반사된 풍경 안에내 모습도 나타나기 시작했습니다”
다시금 사랑이 허물어지는 순간에도찰나의 아름다움을 안간힘으로 붙드는 사람,시인 이병률이 써내려간 사랑의 기록"
샤워젤과 소다수,고선경,"국내도서
 > 
시/에세이
 > 
한국시
 > 
현대시",9.78895E+12,"“쓰러진 풍경을 사랑하는 게 우리의 재능이지”구겨진 뒤축 같은 오늘을 딛고끝내 내일이라는 약속을 지켜내는 이십대의 초상
체념과 무기력만 남은 듯한 세상에 희망이라는 농담을 던지며 자신을 향한 믿음을 놓지 않는 청년 세대를 그리는 시인, 고선경의 첫번째 시집 『샤워젤과 소다수』를 문학동네시인선 202번으로 출간한다. 2022년 조선일보 신춘문예로 데뷔할 당시 이문재, 정끝별 시인으로부터 넘치는 “시적 패기”로 써나갈 시의 힘이 기대된다는 평을 받은 시인은, 이십대의 현실을 핍진하게 그려냄과 동시에 수상 소감에서 밝혔듯 “무궁무진하고 이상한 미래”로 씩씩하게 걸어나가는 시편들을 선보여왔다.이번 시집에서 시인은 오래된 테이프를 재생하듯 한 시대를 풍미한 문화 요소들을 배치해 읽는 이를 공감과 향수로 가득한 시세계 속으로 끌어들인다. 딴청과도 같은 회상이 끝나고 돌아온 현재는 그러나 지고 또 지는 게임의 연속이다. 시인은 자조적이면서도 능청스러운 유머로 청년들의 고단한 현실을 비틀고, 미지의 내일에 향기롭고 경쾌한 상상을 덧입힌다. 너머를 상상할 수 있기에 앞으로를 다짐하고, 사랑을 약속하며, 끝없는 소망을 품게 된다는 것을 보여주는 시편들에서, 새로운 가능성을 꿈꿈으로써 또 한번 오늘을 살아내는 이들의 목소리가 들려오는 듯하다."
간이역에서,이희국,"국내도서
 > 
시/에세이
 > 
한국시
 > 
현대시",9.79119E+12,N/A
