책 이름,작가,장르,ISBN,책 소개
"다시, 역사의 쓸모",최태성,"국내도서
 > 
역사/문화
 > 
역사일반
 > 
역사이야기",9.79119E+12,"30만 독자가 사랑한 《역사의 쓸모》더 깊어진 통찰과 한층 풍부해진 경험으로 돌아오다!“선택에 후회를 남기고 싶지 않을 때우리에겐 역사가 필요하다“
5년 연속 역사 베스트셀러, 국립어린이청소년도서관 ‘청소년추천도서’, 예스24 ‘올해의 책’, 경남·청주·양주 등 전국 지자체 ‘올해의 책’ 등 대한민국에 쓸모 열풍을 불러일으켰던 《역사의 쓸모》가 새로운 이야기로 돌아왔다. 신간 《다시, 역사의 쓸모》는 대한민국 대표 역사 커뮤니케이터 최태성이 지난 5년간 새롭게 발굴한 역사의 쓸모를 담은 책으로 ‘역사를 배워야 하는 이유’에 답했던 전작에서 한 걸음 더 나아가 ‘삶에 역사의 지혜를 들여오는 방법’을 다룬다.700만 명의 가슴을 울린 명강의의 주인공답게 최태성은 수백 년 전 일에 생명을 불어넣고 현대에도 유효한 의미를 찾아 친절하게 풀어내는 탁월한 이야기 솜씨를 발휘한다. 여기에 그간 더 깊고 예리해진 시선과 한층 풍부해진 경험을 더한 《다시, 역사의 쓸모》는 지식을 넘어 삶과 세상을 탐구하는 도구로서 역사를 활용하는 품격 있는 역사 사용법을 소개하며 독자들을 다시 한번 역사의 쓸모 세계로 초대한다.그 어느 때보다 사회 변화가 빠른 시대에 우리에게 절실한 것은 삶의 기준을 바로 세워줄 무언가다. 한두 달만 지나도 낡은 것이 되어버리는 쏟아지는 정보들 대신 수백 년의 시간이 검증한 역사의 통찰에 몸을 기대어 보면 어떨까? 세상에 휩쓸리지 않고 후회 없는 선택을 하며 살아가고 싶은 이들을 위해 《다시, 역사의 쓸모》는 역사에서 찾은 시간이 지나도 변하지 않는 단단한 가치들을 담아냈다. 여전히 인간다운 삶의 쓸모를 고민하는 사람이라면 이 책에서 ‘한 번의 인생, 어떻게 살아야 하는가’에 대한 답을 찾을 수 있을 것이다."
사피엔스,유발 하라리,"국내도서
 > 
인문
 > 
인문학일반
 > 
인문교양",9.78893E+12,"출간 10주년·200쇄·115만부 기념유발 하라리 특별 서문 수록“인공지능의 시대, 우리가 알아야 할 것은 코딩보다 인간의 마음.”인간의 역사와 미래에 대한 가장 논쟁적이고 대담한 대서사문명의 배를 타고 진화의 바다를 항해한 인류는 이제 어디로 나아갈 것인가!“당신은 이 책을 사랑할 수밖에 없다.” (제레드 다이아몬드)
‘천재 사상가’(뉴욕타임스) 유발 하라리의 대표작 《사피엔스》. 이제 불황이라는 수식어가 전혀 어색하지 않은 국내 출판시장에서도 《사피엔스》는 인문교양 분야의 트렌드를 주도하며 2023년 1월 기준 ‘200쇄 발행·115만부 판매’라는 놀라운 기록을 거두고 있다. 인류 역사와 미래를 종횡무진 가로지르는 《사피엔스》의 통찰은 불확실하고 복잡한 세계를 이해하고 대비하는 데 반드시 필요하다.책 서두에는 2011년 원서 출간 이후 10년을 돌아보고 위기 상황을 맞은 인류에게 건네는 제언이 특별 서문으로 수록되었다. 현재 인류는 그 어느 때보다 어려운 상황을 맞고 있다. 난국을 헤쳐나가기 위해 무엇을 해야 할까? 저자는 더 나은 세상을 위한 키워드로 ‘인간 이해’를 강조한다. 출간 10주년 서문이지만 글로벌 베스트셀러를 출간한 개인적인 소회보다는 유례없는 난관을 헤쳐나가기 위해 동료 사피엔스에게 전하는 호소가 담겨 있다."
총 균 쇠,재레드 다이아몬드,"국내도서
 > 
역사/문화
 > 
역사일반
 > 
문명/문명사",9.78893E+12,"문명의 생성과 번영의 수수께끼를 밝힌 세계적 명저마침내 만나는 출간 25년 기념 뉴에디션!
학문의 경계를 넘나드는 세계적 석학 재레드 다이아몬드. 인류 문명에 대한 예리한 통찰을 전해온 그의 대표작이자 1998년 퓰리처상 수상작 《총, 균, 쇠》를 새 번역, 새 편집으로 만난다. 왜 어떤 국가는 부유하고 어떤 국가는 가난한가? 왜 어떤 민족은 다른 민족의 정복과 지배의 대상이 되었는가? 생물학, 지리학, 인류학, 역사학 등 다양한 학문의 융합을 통해 장대한 인류사를 풀어내며 오늘날 현대 세계가 불평등한 원인을 종합 규명한 혁신적 저작. 출간 25년 기념 뉴에디션에는 2023년 저자 특별서문과 서울대 인류학과 박한선 교수의 해제, 새 서문과 후기를 수록해 풍성한 읽을거리를 더했다."
역사의 쓸모,최태성,"국내도서
 > 
역사/문화
 > 
역사일반
 > 
역사이야기",9.79119E+12,"“삶이라는 문제에역사보다 완벽한 해설서는 없다”30만 독자가 사랑한 우리 시대의 대표 역사 교양서《역사의 쓸모》 개정증보판 출간
역사가 우리 삶에 얼마나 쓸모가 있는지 이만큼 잘 설명한 책이 또 있을까요?” -독자평 중에서이 책은 출간 후 30만 부 가까이 판매된 베스트셀러 《역사의 쓸모》의 개정증보판이다. 대한민국 대표 역사 커뮤니케이터 최태성이 수십 년간 역사를 알리며 체득한 세상에서 가장 실용적인 역사 사용법을 오롯이 담았다. 이번 개정증보판에는 저자가 코로나 팬데믹 기간에 새롭게 발견한 역사의 쓸모를 소개한 글(‘위기를 극복해 온 인류의 생존법’)이 추가되어 23가지 통찰을 전한다.《역사의 쓸모》는 역사를 쉽고 재미있게 설명하는 책이 아니다. 오히려 수백 년 전 이야기로 오늘의 고민을 해결하는 방법을 알려주는 역사 사용 설명서에 가깝다. 저자 최태성이 바로 그렇게 역사를 사용하기에 가능했던 일이다. 선택의 기로에 설 때마다 역사에서 답을 찾았다고 말하는 그는 삶에 관한 가장 완벽한 해설서는 역사라고 힘주어 이야기한다. 그리고 역사를 배워서 어디에 쓰냐고 말하는 사람들에게 답이라도 하듯 이 책에서 역사를 철저히 실용적인 관점으로 바라본다. 한국사와 세계사를 자유롭게 넘나들며 선택의 기준이 되어줄 의미를 뽑아내고 자신만의 궤적을 만들며 삶을 살아간 이들을 멘토로 소환한다.‘왜 역사를 배워야 하는가’라는 질문에 명쾌하게 답하는 이 책은 수많은 독자의 인생 책으로 언급되며 2019년 출간 이후부터 줄곧 역사 베스트셀러의 자리를 지켰다. 후속작 《다시, 역사의 쓸모》와 함께 출간되는 이번 개정증보판은 그동안 변화한 사회의 모습을 현재 시점에 맞게 고쳐 썼고, 글의 핵심을 유지하며 아쉬웠던 부분은 다듬고 보완했다. 도서 안의 도판도 일부 새로 갈음했다. 수십만 독자가 열광하고, 대한민국에 쓸모 열풍을 불러일으킨 《역사의 쓸모》가 새 옷을 입고 여러분을 기다리고 있다. 역사를 골치 아픈 암기 과목이 아니라 길을 잃고 방황할 때마다 답을 구할 수 있는 삶의 해설서로 탈바꿈하는 이 책과 함께라면 삶의 모든 영역에서 역사의 교훈을 활용할 수 있는 역사 사용법을 손에 넣은 것이나 다름없다."
세계를 움직인 열 가지 프레임,수바드라 다스,"국내도서
 > 
역사/문화
 > 
역사일반
 > 
문명/문명사",9.79116E+12,"“내 인생 좌우명이 세계의 진실을 가리는 프레임이라니!”
‘누구의 말도 그대로 믿지 말라’, ‘아는 것이 힘이다’, ‘시간은 돈이다’. ‘펜은 칼보다 강하다’… 누구나 들어봤을 법한 이러한 말들은 믿어 의심치 않은 지혜로 우리 사회에서 수용되고 있다. 『세계를 움직인 열 가지 프레임』은 현대 문명의 성취이자, 오랜 시간 지켜온 신념으로 공유되는 열 가지 핵심 가치의 이면을 살펴보며, 역사와 우리의 생각에 어떤 영향을 끼쳤는지 파헤친다. 과학은 가치중립적인 이성의 최고봉이고, 교육은 우리를 인간답게 만드는 교양의 중심이며, 시간은 효율적으로 활용해 가치를 창출할 수 있는 자원, 글은 모든 생각과 사건을 표현할 수 있는 마법의 도구… 이것이 우리의 보편적 생각으로, 이를 갖추는 것을 문명화의 기본으로 간주한다. 자연스럽게 이를 갖추지 못한 사회, 사람은 야만적이고 미개하다고 간주한다. 질문은 여기서 시작된다. 우리 머릿속에 깊이 박힌 ‘과학’, ‘교육’, ‘글’, ‘시간’ 등의 개념은 어디에서 비롯되었는가? 우리가 세운 문명화의 기준은 어디에서 비롯되었는가? 누가 확립했으며, 결정적으로 누가 이익을 보고 있는가? 이 책은 현대 문명을 지탱하는 열 가지 핵심 개념의 생성 과정을 탐구하며, 서구 권력이 어떻게 자신들의 틀을 활용해 세계를 문명과 야만으로 나누고, 억압과 착취의 역사를 펼쳤는지 살펴본다."
물질의 세계,에드 콘웨이,"국내도서
 > 
인문
 > 
인문학일반
 > 
인문교양",9.79117E+12,"모래ㆍ소금ㆍ철ㆍ구리ㆍ석유ㆍ리튬물질은 어떻게 역사를 움직이는가인간 세계를 확장시킨 물질에 관한 가장 지적인 탐구
칠레 아타카마 사막에서 기가팩토리 네바다까지,가장 원시적인 곳에서 발견한 최첨단의 세계모래, 소금, 철, 구리, 석유, 리튬. 이 여섯 가지 물질은 인류 역사상 가장 중요한 물질로 암흑기에서 현대의 고도로 발달한 사회로 인간의 세계를 확장시켰다. 컴퓨터와 스마트폰에 전력을 공급하고, 집과 빌딩을 지으며, 생명을 구하는 의약품을 만들지만 우리 대부분은 이 물질이 무엇인지, 우리 삶에 어떤 영향을 미치고 있는지 알지 못한다. 《물질의 세계》 저자이자 영국의 저널리스트 에드 콘웨이(Ed Conway)는 우리가 알지 못했고 볼 수 없었던 물질이 가진 경이로운 세계로 독자들을 안내한다. 무더운 유럽의 가장 깊은 광산부터 티끌 하나 없는 대만의 반도체 공장, 칠레 아타카마 사막의 소금호수까지. 전 세계 곳곳을 탐험하는 과정 속에 인간의 새로운 미래를 가져다 줄 대체 불가능한 여섯 가지 물질의 비밀이 밝혀진다. 물질은 어떤 과정을 거쳐 놀랍도록 복잡한 제품으로 탄생할까? 여섯 가지 물질의 여정이 만들어가는 기적적인 과정과 숨겨진 사람들의 이야기를 통해 세상을 바꾸는 물질의 새로운 세계로 한걸음 더 다가갈 수 있다."
호모 사피엔스,조지프 헨릭,"국내도서
 > 
인문
 > 
인문학일반
 > 
인문교양",9.79117E+12,"“스티븐 핑커, 재러드 다이아몬드, 리처드 도킨스에 정면으로 도전하는 발칙한 책!”
“《총, 균, 쇠》 보다 재미있고, 《이기적 유전자》 보다 발칙하다! ”“유인원 중에서 어떻게 사피엔스만이 문명을 이루고 번영할 수 있었는가?”인간 진화 가설의 패러다임을 바꾼 충격적인 도서!인간은 코끼리보다 힘이 없고 치타보다 빠르지 않다. 독성식물을 피할 수 있는 본능이 발달하지도 않았으며, 독성식물을 견딜 수 있는 소화 기관을 가지고 있지도 않다. 그런데도 현재의 인류는 어떻게 생존에 성공하고 지구상의 지배종이 될 수 있었을까? 하버드대학교 인간진화생물학과 조지프 헨릭 교수는 이러한 의문에 대해 인류학, 생물학, 심리학 등의 다양한 학문을 넘나들며 깊이 탐구하고 연구한 결과를 《호모 사피엔스》 이 한 권에 풀어놨다. 저자는 사피엔스 종이 세계를 지배하기 시작한 시점인 수백만 년 전으로 거슬러 올라가, 호모종의 특별한 재능은 개인의 특출난 지능이나 특별한 정신력이 아니라, 집단적으로 협력하고 선택적으로 학습하는 능력에 있다는 것에 집중했다. 개별적으로는 한계와 약점을 가지고 있지만, 집단으로서는 개인이 해결할 수 없는 해결법에 도달할 수 있는 종의 특성이 우리 종의 진화에 미친 영향과 의미하는 바를 추적했다. 그리고 이를 통해 과거 인류가 어떻게 타인을 통해 학습하고, 모방하며 생존과 발전을 이루어냈는지, 이러한 과정에서 우리의 집단 협력과 문화적 진화가 어떻게 생존과 진화의 원동력이 되었는지를 명확하게 밝혀낸다.이 책은 과거부터 현재에 이르기까지 인간의 문화적 진화의 역사를 해부하고 이해하는 데 있어 새로운 시각과 통찰력을 제공함으로써 인간이라는 종의 독특한 특성과 그에 뒷받침되는 진화적 맥락에 대한 이해를 넓히고자 하는 독자들에게 깊은 통찰과 경이로움을 안겨준다."
총 균 쇠(출간 25주년 기념 양장판),재레드 다이아몬드,"국내도서
 > 
역사/문화
 > 
역사일반
 > 
문명/문명사",9.78893E+12,"출간 25주년 기념 양장판 출시문명의 생성과 번영의 수수께끼를 밝힌 세계적 명저
학문의 경계를 넘나드는 세계적 석학 재레드 다이아몬드. 인류 문명에 대한 예리한 통찰을 전해온 그의 대표작이자 1998년 퓰리처상 수상작 《총, 균, 쇠》를 소장용 고급 양장판으로 만난다. 왜 어떤 국가는 부유하고 어떤 국가는 가난한가? 왜 어떤 민족은 다른 민족의 정복과 지배의 대상이 되었는가? 생물학, 지리학, 인류학, 역사학 등 다양한 학문의 융합을 통해 장대한 인류사를 풀어내며 오늘날 현대 세계가 불평등한 원인을 종합 규명한 혁신적 저작. 출간 25주년 기념 뉴에디션에는 2023년 저자 특별서문과 서울대 인류학과 박한선 교수의 해제, 새 서문과 후기를 수록해 풍성한 읽을거리를 더했다."
위기의 역사,오건영,"국내도서
 > 
경제/경영
 > 
경제이론
 > 
세계경제/국제경제",9.79117E+12,"40만 독자가 선택한 오건영의 글로벌 경제사 특강누적 조회 수 550만 회 달성 화제의 명강의를 책으로 만나다!외환위기, 닷컴 버블, 금융위기, 인플레이션의 부활까지 경제위기의 생성과 소멸“경제의 연결 고리가 보인다!”
막연한 공포와 극단적 낙관 대신 통찰의 시선으로, 과거를 제대로 이해하는 순간, 위기의 실체가 드러난다! 2022년 미국의 금리 인상이 시작된 이후, 그리고 40년 만에 가장 강한 인플레이션이 찾아온 이후 지금까지는 경험하지 못했던 새로운 금융 환경이 펼쳐졌다. 달러·원 환율이 금융위기 이후 가장 높은 수준으로 뛰어올랐고, 0%에 가까웠던 예금 금리가 5~6%까지 상승하며 사람들을 주식시장 대신 은행으로 향하게 했으며, 불패 신화를 이어가던 부동산 시장이 꺾이며 수많은 ‘영끌족’을 눈물짓게 만들었다. 이러한 급격한 변화는 지금의 금융시장을 불안하게 만들었고, 자연스레 투자자들이 극단적 위험을 염두에 두게 만들었다. 바로 지금까지는 경험하지 못한 엄청난 위기가 찾아올 것이라는 막연한 불안이다. 사람은 관성적으로 생각하는 경향이 있다. 저금리 기조가 유지되었기 때문에, 물가 상승률이 안정적이었기 때문에, 부동산은 늘 상승하기 때문에 등 단순한 이유로 지금의 상황이 계속될 것이라는 착각을 한다. 하지만 그런 관성은 예측하지 못한 위기에 처참하게 부서지고, 지금과 같은 40년 만의 인플레이션 상황을 만들었다. 하지만 지금 우리가 겪고 있는 상황은 모두 과거에 있었던 일이고, 그때도 비슷한 이유와, 비슷한 착각으로 똑같은 일이 벌어졌다. 그럼에도 반복되는 이유는 단순히 위기를 걸어 지나왔을 뿐, 제대로 알지 못하기 때문이다. 우리는 위기에 대해 전혀 모르고 있다."
문명의 붕괴(Collapse),재레드 다이아몬드,"국내도서
 > 
역사/문화
 > 
역사일반
 > 
문명/문명사",9.78893E+12,"파괴된 문명의 역사에서 배우는 인류의 미래!
문명 비판서 《총, 균, 쇠》로 퓰리처상을 받은 작가 재레드 다이아몬드의 『문명의 붕괴(Collapse)』. ‘과거의 위대한 문명사회가 붕괴해서 몰락한 이유가 무엇이고, 그들의 운명에서 무엇을 배울 것인가’라는 문제를 다룬 책이다. 다이아몬드는 이 책에서 ‘붕괴’의 개념을 ‘상당히 넓은 지역에서 오랜 시간 동안 일어난 인구 규모, 정치·사회·경제 현상의 급격한 감소’로 표현하며, 단순한 쇠락이 아닌 완전히 몰락해버린 사회들을 주로 비교·분석한다.이스터 섬의 폴리네시아 문화에서 시작하여, 아나사지와 마야에서 꽃피웠던 아메리카 원주민들의 문화, 그린란드에 식민지를 개척한 바이킹들의 불행 그리고 현대세계까지 추적해서 재앙의 기본적 패턴을 찾아낸다. 아울러 우리가 자원을 낭비하고 환경이 우리에게 보내는 경고를 무시할 때, 단시간에 많은 나무를 재생산하거나 베어낼 때 어떤 일이 닥치는지 자세히 설명함으로써 경각심을 일깨운다.
이 책은 과거 문명의 붕괴과정 뿐만 아니라 어려웠던 환경에서도 살아남은 사회의 성공사례도 소개한다. 가혹한 환경문제를 겪었으면서도 구성원들이 힘을 모아 극복한 아이슬란드와 뉴기니의 고원지대, 남태평양의 작은 섬, 산림 파괴로 인한 위기를 극복한 일본의 사례를 통해서 오늘날의 우리에게 희망을 주는 것을 잊지 않으며, 인간이 자멸을 피하고 공존할 수 있는 방법을 제시한다."
