책 이름,작가,장르,ISBN,책 소개
세이노의 가르침(100만 부 기념 리커버 에디션),세이노(SayNo),"국내도서
 > 
자기계발
 > 
성공/처세
 > 
자기관리/처세",9.79117E+12,"100만 부 기념 리커버 에디션재야의 명저 《세이노의 가르침》 2023년판 정식 출간!순자산 천억 원대 자산가, 세이노의 ‘요즘 생각’을 만나다
2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 《세이노의 가르침》이 드디어 전국 서점에서 독자들을 마주한다. 여러 판본을 모으고 저자의 확인을 거쳐 최근 생각을 추가로 수록하였다. 정식 출간본에만 추가로 수록된 글들은 목차와 본문에 별도 표시하였다.더 많은 사람이 이 책을 보고 힘을 얻길 바라기에 인세도 안 받는 저자의  마음을 담아, 700쪽이 넘는 분량에도 7천 원 안팎에 책을 구매할 수 있도록 했다. 정식 출간 전자책 또한 무료로 선보인다.*필명 ‘세이노(Say No)’는 당신이 믿고 있는 것들에 ‘No!’를 외치고 제대로 살아가라는 뜻이다. 세이노는 지난 20여 년간 여러 칼럼을 통해 인생 선배로서 부와 성공에 대한 지혜와 함께 삶에 대한 체험적 지식을 나누어 주었다. 그래서 그의 글을 좋아하는 사람들은 그를 ‘세이노 스승님’이라 부른다."
나는 도대체 왜 피곤할까,에이미 샤,"국내도서
 > 
자기계발
 > 
성공/처세
 > 
자기관리/처세",9.79119E+12,"내가 죽도록 피곤한 이유를 이제야 찾았다! 에너지와 자신감을 얻으며 이런 생각이 들었다 “어쩌다 이렇게 행복해졌지?”
침대에서 일어나 바닥에 발을 딛는 순간부터 베개를 머리에 묻을 때까지 피곤을 달고 사는 일상은 너무나 흔하다. 의사나 누군가에게 ‘내 컨디션이 왜 이렇게 망가졌는지’ 물어봐도, 돌아오는 대답은 늘 ‘정상’이니 ‘괜찮다’라고 한다. 많은 일을 하기 때문에 피곤한 건 정상이라며, 드물지 않은 일이라고 한다. 하지만 이런 삶이 정말 괜찮은 걸까?피로가 내 삶을 지배하게 둘 수는 없다. 하버드, 컬럼비아, 코넬, 알베르트아인슈타인 면역학/알레르기 전문가인 ‘에이미 샤’는 삶의 활력을 불어넣기 위해 과학적 통찰로 무장한 근본적인 해결책을 제시한다. 에이미 샤가 제시하는 ‘WTF 계획’은 단 2주 만에 당신의 삶을 더욱 좋은 방향으로 바꿔나갈 것이다. 내게 뭔가 문제가 있다고 몸이 외치고 있지만, 뭐가 문제인지 알아낼 힘도 없었다면 에이미 샤가 제안하는 계획에 동참해보자. 강력한 삶의 동기를 느끼며 평생 넘치는 에너지로 살아가기 위해서는 이 계획이 반드시 필요하다. 당신에게서 영원히 잃어버릴 것 같은 활력을 되찾아줄 것이다. 이제 내일은 개운하게 일어날 준비가 되었는가?"
나를 소모하지 않는 현명한 태도에 관하여,마티아스 뇔케,"국내도서
 > 
자기계발
 > 
성공/처세
 > 
자기관리/처세",9.7912E+12,"보여주기 위해 극대화하는 삶이 아닌 고요히 나를 지키는 삶을 위한 안내서 
더 성공해야 하고, 더 노력해야 하고, 더 욕망해야 하고, 더 보여줘야 한다는 강박이 난무하는 시대다. 그러나 모두가 자기를 내세우고 드러내느라 시끄러운 세상에서는 역설적으로 절제된 말과 행동, 고요함과 평온함이 더 절실히 그리워지고, 더 강력하게 다가오기 마련이다. 『나를 소모하지 않는 현명한 태도에 관하여』는 모든 것이 과하게 요구되고, 요란하게 소비되는 시대에 ‘더 현명한 삶의 방식’은 무엇인지를 통찰한 책이다. 독일의 언론인이자 베스트셀러 작가이며 문학과 커뮤니케이션 과학, 심리학 등을 두루 공부한 마티아스 뇔케 박사는 특유의 재치와 명쾌함이 돋이는 글쓰기로 ‘보여주기 위해 극대화하는 삶이 아닌 조용히 나를 지키는 삶’으로 독자들을 안내한다. 과도하게 애쓰며 자신의 삶을 소모하지 않아도, 조용히 자신의 존재감을 빛내며 능력을 발휘하는 사람들이 있다. “겸손이야말로 자신감을 보여줄 수 있는 가장 효과적이고 배려 깊은 태도”라고 말하는 저자는 누구나 공감하게 만드는 풍부한 사례를 통해 ‘겸손한 태도’가 발휘하는 힘을 매우 유쾌하게 펼쳐 보여준다. 현 시대의 풍경과 의미를 날카롭게 짚어내는 것은 물론 문화사적 통찰, 심리학적 측면과 관계의 기술까지 아우르며 독자들의 공감과 사색의 폭을 넓혀준다. 독일의 언론과 독자들이 극찬한 것처럼, 더 자유롭고 행복한 삶을 원한다면 마티아스 뇔케의 이 말에 귀 기울여보자. “세상이 아무리 폭풍 같아도 고요히 자기의 중심을 잃지 않는 사람. 모두 자기를 내세우느라 떠들썩한 세상에서 묵묵하게 겸손함을 선택한 사람. 이런 사람이야말로 가장 현명하고, 가장 강한 사람이다. 이런 사람은 누구도 상처 주지 않고 결국 모두를 이깁니다.”"
일류의 조건,사이토 다카시,"국내도서
 > 
자기계발
 > 
성공/처세
 > 
자기관리/처세",9.79119E+12,"시대와 세대를 초월한 자기계발서 바이블, 《일류의 조건》독자들의 출간 요청 쇄도로 18년 만에 복간!“어떠한 분야에서도 단연 돋보이는 존재가 될 수 있는 능력은 무엇인가?”
도서 《일류의 조건》이 국내 첫 출간 후 18년 만에 필름출판사에서 복간되었다. 《일류의 조건》은 일본 메이지 대학교 교수로 재직 중인 사이토 다카시의 대표작으로, 그의 저서는 국내에도 많이 소개되며, 누적 1,000만 부 이상의 판매 부수를 기록하고 있는 베스트셀러 작가이다. 이 책은 2006년 국내 출간 이후 오랜 시간 절판되어, 중고 거래를 통해 책을 구하는 사람들이 많았다. “책이 절판되어 동네 도서관에서 찾아보고 있다”, “책 읽어보고 싶은데 절판되어 구할 수가 없다”, “중고로도 구하기 어려워서 다시 출간되었으면 좋겠다” 등 연일 독자의 출간 요청이 끊이지 않고 이어져 온 책이다.《일류의 조건》은 한 분야에 있어 통달한 전문가, 즉 ‘일류’가 되기 위해서는 근본적인 조건 세 가지인 ‘훔치는 힘’, ‘요약하는 힘’, ‘추진하는 힘’을 갖추어야 함을 전하는 실용적인 자기계발서다. 10년간 약 1만 권의 책을 읽으며 독서의 중요성을 강조하고 있는 뇌과학 전문가 박문호 박사는 그동안 읽은 자기계발서 중 단 한 권의 추천 도서로 《일류의 조건》을 꼽으며, 이 책에서 말하는 ‘일류가 되기 위한 세 가지 조건’은 날이 갈수록 복잡해지는 사회현상과 넘쳐나는 정보의 홍수 속에서 “반드시 필요한 능력”임을 거듭 강조했다. 특히나 출간된 지 오랜 시간이 지났음에도 “여전히 이 책이 담고 있는 핵심점인 메시지는 지금까지도 매우 유효하다”고 전한 대목에서, 시대가 바뀌고 세월이 흘러도 언제나 ‘근본’이 가장 중요함을 실감하게 한다. 그 변하지 않는 근본은 바로 《일류의 조건》에서 말하는 세 가지 힘일 것이다. 이 책이 전하는 실질적인 메시지를 익힌다면, 어떠한 조건이나 환경에서도 당신 자체로서 빛을 발할 수 있는 돋보이는 존재로 거듭날 수 있을 것이다."
데일 카네기 인간관계론(무삭제 완역본),데일 카네기,"국내도서
 > 
자기계발
 > 
성공/처세
 > 
카네기시리즈",9.79119E+12,"사람의 마음을 사로잡는 가장 빠르고 확실한 방법!데일 카네기가 전하는 성공하는 인간관계의 비밀
사람을 다루는 핵심 원리는 무엇일까? 어떻게 하면 호감 가는 사람이 될 수 있을까? 원하는 것을 얻어내는 가장 효과적인 방법은 무엇일까?  인간관계는 친구를 만들고 적을 만들지 않는 것에서 시작된다. 『데일 카네기 인간관계론』은 이런 인간관계의 핵심을 꿰뚫는다. ‘친구를 만들고, 사람을 설득하는 법’이라는 제목으로 1936년 처음 출간된 데일 카네기의 책은 80년 넘게 수많은 사람들에게 영향을 끼쳐 왔다. 이후에 나온 모든 자기 계발서들이 이 책의 영향을 받았다고 해도 과언이 아니다. 세계적인 투자자 워런 버핏의 인생을 바꾼 책이자, 누구나 꼭 읽어야 할 책이기도 하다. 『데일 카네기 인간관계론』은 가장 단순하고 실용적인 원칙들로 복잡한 인간관계에 대한 우리의 고민을 명쾌하게 해결해 준다. 이 책은 1936년 출간된 초판을 완역해 원전의 맛을 살렸다. 개정판에서 삭제되었던 5부 ‘기적 같은 결과를 낳은 편지들’과 6부 ‘결혼 생활을 행복하게 만드는 7가지 비결’도 그대로 수록했다. 데일 카네기가 그 당시 무엇을 보고 어떤 생각을 하며 이 책을 썼는지 한층 더 깊게 이해할 수 있게 되는 셈이다. 시대적 상황은 크게 변했지만 그가 수천 명의 수강생들과 갈고닦은 원리들은 80년이 지난 지금도 여전히 유효하다. 거기에 더불어 카네기는 독자들을 위해 이 책을 가장 잘 활용하기 위한 9가지 제안을 남겼다. 아래 소개하는 그의 제안대로 이 책을 활용한다면 최고의 성공을 거두게 될 것이다."
강인함의 힘,스티브 매그니스,"국내도서
 > 
자기계발
 > 
성공/처세
 > 
자기관리/처세",9.79119E+12,"강인함이란 무엇인가? 최후의 승리자는 누구인가?성공을 거두기 위해 내면의 힘을 기르는 방법그리고 강인함에 대한 새로운 과학!
“수많은 고비 앞에서 진정한 강자가 되려면 무엇을, 어떻게 해야 할까?제대로 된 자질을 갖추는 방법, 내면의 힘이 무엇인지에 대해 바로 지금, 가장 깊이 있는 성찰을 만난다.”_애덤 그랜트(펜실베이니아 대학교 와튼스쿨 조직심리학과 교수. 《싱크 어게인》, 《오리지널스》 저자)중대하고 험난한 고비 앞에서 진정한 강자가 되려면 어떤 자질을 어떻게 갖추어야 할까?과학적 근거에 따라 새롭게 정의하는 진정한 강인함이란 무엇인가?  오랫동안 강인함은 최고의 성과를 달성하기 위한 필수 요소이자, 불도저처럼 그저 밀고 나가는 이미지로 각인되었다. 우리는 다양한 삶의 고비 앞에서 무너지기 직전까지 자신을 몰아가는 방식을 장려하고 미화했으며, 약점을 보이면 완전한 실패라고 여겼다. 이러한 ‘가짜’ 강인함은 실질적으로 효과가 없다.유명한 성과 전문가이자 경영 코치, 《피크 퍼모먼스》와 《열정 패러독스》의 공동 저자인 스티브 매그니스는 《강인함의 힘》을 통해 최신 스포츠 과학과 심리학에 바탕을 둔 새로운 회복탄력성 모델을 제안한다. 역경과 도전을 극복하는 데 도움이 되는 새로운 종류의 강인함, 즉 진정한 강인함을 처방한다. 그가 과학적 근거를 통해 제시하는 강인함은 고통, 분노와 같은 생리적, 감정적, 심리적 반응에 집중하고, 한계와 현실을 인정하라는 것이다. 그는 우리가 인성을 인식하는 방식, 어려운 상황에 직면했을 때 높은 야망을 달성하는 것이 무엇을 의미하는지에 대해 근본적으로 다시 돌아보도록 이끈다. 진정한 내면의 힘을 기르기 위해  《강인함의 힘》에서 제시하는 강인함의 4가지 핵심 원칙은 다음과 같다. 1. 허세를 벗고 현실을 직면하라, 2. 몸이 하는 말에 귀를 기울여라, 3. 반응하지 말고 대응하라, 4. 난관은 더 큰 ‘나’를 만날 기회다.행동과학자이자 올림픽 선수 코치, 컨설턴트인 스티브 매그니스는 회복탄력성에 대한 기존 관념을 뒤집었다. 《강인함의 힘》은 마음챙김, 군사 사례 연구, 스포츠 심리학, 신경과학, 심리학, 철학을 바탕으로 삶의 어려움을 헤쳐나가고 높은 성과를 달성하여 더 행복하고 성공적인, 궁극적으로 더 나은 사람으로 나아가기 위한 로드맵을 제시한다. 강인함이란 난관을 무시하는 데서 길러지는 것이 아니다. 진정한 강인함은 내면의 힘이다. 자신을 제대로 돌아보고 받아들이는 순간부터 우리는 자기 안의 힘을 만날 수 있다."
퓨처 셀프,벤저민 하디,"국내도서
 > 
자기계발
 > 
성공/처세
 > 
자기관리/처세",9.79119E+12,"‘미래의 나’를 적용하는 과학 분야 세계 최고의 전문가,자기계발 분야 파워블로거이자 베스트셀러 작가의 신작세계적인 동기부여 전문가, 토니 로빈스 강력 추천!현재와 미래를 더 가치 있게 바꾸고 싶다면,‘미래의 나’와 연결하라!
살 날이 얼마 남지 않은 ‘미래의 내’가 현재로 시간 여행을 왔다고 상상해보자. ‘현재의 나’는 해야 할 일은 미뤄둔 채 소파에 누워 핸드폰을 보느라 시간 가는 줄 모른다. 당장 사고 싶은 것, 먹고 싶은 것에 생각 없이 돈을 쓰고, ‘다음 달의 나’에게 결제를 미룬다. 자극적이고 간편한 정크 푸드를 즐겨 먹으며 건강은 생각하지 않는다. 어린 자녀와 눈을 맞추고 시간을 보내기보다 잔소리와 고성이 오가는 전쟁 같은 하루하루를 보낸다. 이 모습을 본 ‘미래의 나’는 과연 어떤 말을 하고 싶을까? 혹시 지금의 내 모습과 크게 다르지 않다고 생각하는가? 미래의 모습이 그려지지 않는다면, 현재의 내가 좀 더 나은 모습이기를 원한다면 이 책이 해답을 제시해줄 것이다.‘미래의 나는 어떤 모습일까?’라는 질문은 우리가 인생에서 쉽게 놓치는 중요한 진실에 이르게 한다. 즉, 미래의 나와 연결될수록 현재 더 나은 삶을 살게 된다는 것이다. 이 책은 미래의 내가 어떤 모습일지 깊이 생각해보고, 지금 그 사람이 되는 방법을 구체적으로 알려주는 인생 지침서이다. 상상한 미래 자아는 현실에서 원동력이 되어 목표와 우선순위가 달라지고, 이에 맞게 행동하게 만든다. 그렇기에 우리가 다시 예전 모습으로 돌아가려 하거나 의지가 약해질 때마다, 혹은 작은 성취를 맛본 후 다음 목표를 정해야 할 때 이 책을 옆에 두고 수시로 꺼내 보기를 권한다. 이 책의 저자인 벤저민 하디는 저명한 조직심리학자로, ‘미래의 나’를 적용하는 과학 분야에서 세계 최고의 전문가다. ‘미래의 나’와 관련된 연구가 점점 많아지고 있는 가운데, 그는 이 주제를 완벽하게 다룬 책을 발표했다. 그의 오랜 연구 결과와 집약된 이론을 국내에서 책으로 만날 수 있게 된 것이다. 그는 팟캐스트와 유튜브, 웹사이트, 기업 강연을 통해서도 ‘미래의 자신’을 명확하게 하고, 목표한 방향으로 이끄는 실용적인 전략을 공유하며 많은 사람의 성장과 발전을 돕고 있다. 이 책은 크게 세 파트로 구성되어 있다. 파트1은 ‘미래의 나’를 위협하는 요인 7가지를, 파트2는 ‘미래의 나’에 대한 진실 7가지를, 파트3은 ‘미래의 내’가 되는 7단계를 구체적으로 제시한다. 각 단계마다 자신을 점검해볼 수 있는 체크리스트와, 미래의 나와 연결하는 활동들이 포함된 워크지를 제공하고 있다. 또한 각 장의 핵심 내용은 일러스트를 통해 기억에 선명하게 남도록 도와주고, 파트가 끝날 때마다 KEY POINT로 요약해서 정리해준다. 특히 ‘미래의 나’와 연결하는 것이 중요하다는 점을 유명인들의 일화를 통해 소개해 재미를 더하고, 쉽게 이해할 수 있도록 설명한다. 이 책은 단순히 ‘미래의 나’를 생각에서 그치지 않고 행동하게 만드는 구체적인 방법을 제시한다는 점에서 당신의 삶을 변화시키는 데 최고의 안내자 역할을 할 것이다."
원씽(The One Thing)(60만 부 기념 스페셜 에디션),게리 켈러,"국내도서
 > 
자기계발
 > 
성공/처세
 > 
자기관리/처세",9.789E+12,"자기계발 新고전! 2023 전 온라인 서점 결산 종합 베스트셀러!“이 책에는 ‘부’와 ‘성공’을 안겨줄 무기가 들어 있다!”자청, 신사임당 등 인플루언서의 강력 추천 인생 책!
2022, 2023년 연이어 종합 베스트셀러에 선정된《원씽》이 국내 60만 부 판매를 기념하여 스페셜 에디션으로 탄생했다! 수많은 언론과 매체, 인플루언서들이 연이어 《원씽》을 다시 찾아 읽고 강력하게 추천하는 이유는 무엇일까? 오늘 날, 많은 사람이 멀티 태스킹의 환상을 가지며 동시에 여러가지 일을 잘 해내고 싶어한다. 하지만 실제 부와 성공을 거머쥔 이들의 이야기를 들어보면 다르다. 인플루언서 자청, 신사임당은 한 방송에서 100억을 벌게 만든 책으로 《원씽》을 꼽으며, 진짜 원하는 것을 이룰 수 있는 ‘단 하나’가 무엇인지 고민하자 성공의 길이 열리기 시작했다고 밝혔다. 모든 것을 동시다발적으로 해내길 바라는 사회에서 《원씽》이 주는 특별한 교훈은 우리가 지치거나 포기하지 않고 목표를 향해 앞으로 나아가는 힘이 되어준다.  성공은 도미노처럼 작동한다. 성공한 사람들은 ‘성공에 필요한 일’이 무엇인지 알아내고 그 ‘단 하나의 일’을 순서에 맞게 진행한다. 첫 번째 일을 제대로 해내면, 도미노가 쓰러지듯 더 큰 성공의 길이 이어진다. 이렇게 차근차근 ‘단 하나의 일’을 해내다보면 어느새 더 크고 위대한 성공을 이루게 된다. 스스로 자기 인생의 ‘단 하나’, 즉 이 책이 말하는 ‘원씽’을 찾아낼 수만 있다면 누구나 부와 성공을 거머쥘 수 있다. 이 책은 누구나 자신만의 ‘원씽’을 찾을 수 있도록 도와주며 미래의 청사진을 그리고 계획을 세우는 방법과 반드시 목표를 이룰 수 있는 노하우를 전해준다. 특히 이번 리커버는 하드 커버로, 《원씽》의 메시지를 간직하고자하는 독자들에게 그 무엇보다 특별한 선물이 될 것이다.  인생에서 가장 중요한 '단 하나'를 찾는 여정을 시작하자. 준비는 이 책 한 권과 심호흡 한 번이면 충분하다.  -최지은(교보문고 자기계발 MD)
저자는 커리어가 됐든, 비즈니스가 됐든, 가정생활이든, 인간관계이든 삶의 각 분야에서 가장 중요한 가치를 찾아 몰두할 때, 일에서의 성공과 삶에서의 행복을 얻을 수 있다고 이야기한다. 이 책은 올바른 타이밍과 접근법으로 자신만의 ‘원씽’을 찾아 그에 집중하는 노하우를 소개한다. 우리의 인생에서 가장 중요한 것과 중요하지 않은 것을 구별하는 능력을 키워 가장 중요한 ‘단 하나’에 집중할 수 있도록 안내한다."
데일 카네기 인간관계론(무삭제 최신 완역본),데일 카네기,"국내도서
 > 
자기계발
 > 
성공/처세
 > 
카네기시리즈",9.79116E+12,"진정한 행복과 성공을 얻을 수 있는 인간관계의 핵심!
이 책은 1939년 처음으로 집필되었다. 이후 나온 수많은 자기 계발서들이 이 책의 영향을 받았다고 해도 과언이 아니다. 세계적인 투자가 워런 버핏의 인생을 바꾼 책이자, 〈타임〉 선정 20세기 최고의 책으로서 누구나 읽어야 하는 필독서다. 독자들은 90여 년이라는 변화의 흐름 속에서도 입지를 굳혀 가는 인간관계를 단순한 원칙을 통해 쉽게 이해할 수 있다. 사람을 다루는 기본 법칙, 사람을 설득하는 원칙, 반발 없이 상대방을 변화시키는 방법까지 실생활에 적용할 수 있는 다양한 원칙을 풍부한 사례와 함께 구체적으로 제시하고 있기 때문이다.데일 카네기의 생생한 말과 함께 시대와 지역과 세대를 뛰어넘은 세계적인 베스트셀러를 무삭제 초판 완역본으로 만나 보자."
니체 인생수업: 니체가 세상에 남긴 66가지 인생지혜,프리드리히 니체,"국내도서
 > 
인문
 > 
철학
 > 
서양철학자
 > 
니체",9.79119E+12,"역사상 가장 위대한 철학자 중하나로 꼽히는 프리드리히 니체의 글 가운데,엄선하고 또 엄선한 66편의 명언을 담은 책이다."
