책 이름,작가,장르,ISBN,책 소개
판례행정법,신봉기,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
행정법",9.79117E+12,이번 5판에서는 기존의 체계를 유지하면서 2024년 4월까지 나온 판례를 중요도에 따라 정리하여 소개하였다.
행정법 최종정리 OX,강성민,"국내도서
 > 
취업/수험서
 > 
변호사/로스쿨/외무행정고시
 > 
변호사시험",9.79117E+12,"변호사시험 13회분의 선택형 지문을 모두 분석하여 가장 직관적으로 학습할 수 있는 진도에 맞춰 수록하였다. 각 지문의 중요도에 따라 ★ 표시를 해두었다. 특히 2011년부터 2022년까지 실시된 총 33회의 변호사시험 모의시험 기출문제를 모두 철저히 분석하여, 유의미하고 학습할 필요가 있는 판례와 조문 문제는 모두 분석하여 실었다.그 외에도 추가로 학습해야하는 타 직렬 문제 또는 보셔야 할 판례들은 “추가문제”로 표시해 두었다. 지문만으로 사안을 충분히 이해할 수 있는 내용들은 판례번호 또는 조문 번호만 표기하였고, 추가적인 설명이나 논리적 흐름이 필요한 지문들의 경우에는 해당 지문을 이해하는데 필요한 해설을 수록하였다. 같은 표현이나 유사한 표현으로 기출된 동일한 쟁점의 지문은 대표 지문 하나로 통합하였다."
수첩 속의 정책: 포퓰리즘과의 전쟁,안종범,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
정책학
 > 
정부관련",9.79116E+12,"적폐라는 낙인으로 지금까지 풀어놓을 수 없었던,안종범 前 청와대 수석의 수첩 속박근혜 정부의 ‘공약과 정책’을 재조명하다!
‘촛불의 심판’이라는 이름으로, 그리고 ‘적폐’라는 낙인의 그늘로 펴지 못했던 그때의 정책에 깊은 아쉬움에서 이 책은 시작된다. 언제, 어느 곳을 가든 그의 주머니에는 항상 ‘수첩’이 함께했다. 이 책에서 말하는 그때의 이야기는 단편적인 기억에 기댄 허무맹랑한 서술이 아닌 그 순간에 펼쳐졌던 수첩 속 진짜 기록에 근거한다.무소불위의 권력을 휘두르기 위함도, 대한민국이라는 나라에 치명적인 오류를 범하고 싶었던 것이 아니었다. 그 당시 정부의 정부 또한 그저 더 나은 대한민국, 국민이 살기 좋은 대한민국을 만드는 것에 절실했고 진실했음을. 수첩 속 덮여있던 박근혜 정부의 공약과 정책, 그 방법론이 두텁게 쌓인 먼지를 털어내고 지금 이 책에서 다시 펼쳐진다."
"덜미, 완전범죄는 없다 1",한국일보 경찰팀,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
경찰/경호
 > 
범죄학",9.79119E+12,"글로 읽는 영화처럼 전달하는 사건의 재구성!
『덜미, 완전범죄는 없다』는 완전범죄를 노린 범죄 행태와 이를 뛰어넘는 수사기관의 노력, 양자의 치열한 수 싸움을 담은 책이다. 사건이 발생하고 범인을 잡기 위해 동분서주하는 경찰 모습을 조명해보면서, ‘쫓고 쫓기는 자’의 치열한 두뇌 싸움을 그려냈다. 부검, 화재 감식, DNA 감식, 현장 감식, 시신 감식, 혈흔 형태 분석, 검시, 프로파일링, 법 최면, 지문 감식, 지리 프로파일링, 해외 현장 감식 등 12개의 키워드를 통해 사건 전말을 전개하면서 그 사건 해결에 결정적인 단서를 제공한 최신 과학수사 기법을 함께 소개했다."
행정쟁송법,하명호,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
행정법",9.79113E+12,"지난해에도 행정소송규칙이 제정되는 등 행정쟁송법 분야의 기본적인 법령이 제정되거나 개정되었고, 행정쟁송법 영역에서 중요한 의미를 지니는 새로운 판례들이 다수 선고되었으며, 행정쟁송에 관한 법리를 밝힌 개인적인 연구성과들도 있었다. 제7판에서는 이러한 점들을 반영하려고 노력하였다."
"지방의회, 아는 만큼 잘할 수 있다!",강상원,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
지방자치",9.79119E+12,"지방의회 최고 경력 전문가들이 전하는현장 경험과 전문성을 바탕으로 한 살아 있는 의정활동 지침서
지방의회의 역할이 커지면서 지방의회는 어떤 곳이고, 지방의원은 의회에서 어떤 일을 하는지 궁금해하는 사람들이 많지만, 정작 알기 쉽게 설명해주는 책은 부족했다. 현직 서울특별시의회 전문위원들이 이런 아쉬움을 해소하고자 직접 이 책을 기획하고 집필했다. 《지방의회, 아는 만큼 잘할 수 있다!》는 지방의회의 기본 업무인 의안 심사와 입안에서부터, 지방의원이라면 반드시 알아야 할 예산ㆍ결산 심사, 그리고 지방의회의 감사와 특별위원회 활동, 행정사무 등 지방의회의 모든 업무에 대해 실제 예시와 함께 상세히 설명한다. 이뿐만 아니라 지방의원의 급여, 의정활동경비, 민원 처리, 재산등록 등 아무도 쉽게 알려주지 않는 의정활동 노하우까지 알기 쉽게 전한다. 이 책은 2018년 초판이 출간되어 새출발하는 지방의원과 우리 지역 생활정치에 관심 있는 시민들에게 지방의회를 이해하는 초석이자 필수 지침서로 인정받아왔다. 2024년 새롭게 출간된 《지방의회, 아는 만큼 잘할 수 있다!》 최신 개정판은 그동안의 바뀐 법령 등을 충실히 반영하고 업데이트하여 선보인다."
"사람, 프로세스, 관계: 감사란 무엇인가",전광춘,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
정책학
 > 
정책이론/실무",9.79119E+12,"감사란 무엇인가? 공공감사는 무엇을 위해 존재하는가?공공감사의 존재의의와 역할, 감사인의 정체성을 다시 묻다
이 책은 감사가 무엇인지 다시 생각해 보고 싶은 감사부서 관리자와 감사부서에 덜컥 배치되어 난감한 부서원, 감사를 전문 커리어로 삼기를 꿈꾸는 드리머, 그리고 감사도 달라져야 한다는 문제의식이 분명한 의사결정자에게 좋은 감사를 위한 ‘생각의 도구’이자 ‘관점의 창’이 되어줄 것이다."
지방도시 살생부,마강래,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
지방자치",9.78896E+12,"지방도시 정책의 근본 패러다임을 바꿔야 할 때다!
『지방도시 살생부』에서 저자는 지방도시가 쇠퇴하는 현실을 인정하고, 그 속에서 지방도시가 살아남을 방법을 찾아야 한다고 강조한다. 저자는 정부의 도시재생 정책에 압축도시 전략을 처방전으로 제시한다. 핵심은 도시를 ‘성장’시키는 것이 아니라 ‘압축’하는 쪽으로 방향을 바꿔야 한다는 것이다. 일단 쇠퇴를 불가피한 현실로 인정해야 쇠퇴의 충격을 최소화하고, 인구가 줄어든 상태에서 효율적으로 살아갈 수 있다고 이야기하면서 도시의 쇠퇴는 도시의 죽음이 아니라고 강조한다. 오히려 쇠퇴에 제대로 대처하지 못하면 정말로 도시가 죽을 수 있다고 이야기하면서 더 성장·발전시켜야 할 곳과 압축해야 할 곳을 판단하는 지혜를 가질 수 있도록 이끌어주고자 한다."
인구소멸과 로컬리즘,전영수,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
지방자치",9.79119E+12,"★ 인구 충격을 혁신의 기회로 바꿀 새로운 로컬리즘 제안! ★
대한민국은 지금 세계 그 어느 나라도 가 보지 못한 길을 가고 있다. 인구소멸의 정도와 속도는 가히 충격적이어서 낭떠러지로 폭주 중이라고 해도 과언이 아니다. 우리에게는 상식을 초월한 상상력과 고정관념을 깬 발상의 전환이 필요하다. 문제가 충격적이면 대응도 그에 준하는 깊이와 범위를 가져야 하기 때문이다. 이 책은 생사의 기로에 선 대한민국 지방도시를 위한 다양한 전략과 아이디어로 채워졌다. 우리는 최신 이론과 선진 사례를 등대 삼아 우리만의 항해법으로 깜깜한 바다를 헤쳐 나가야 한다. 지난 20년간 380조를 퍼부어도 별무효과였다면 이제 생각도 방법도 바꿔야 한다. 새로운 ‘로컬리즘’이란 관성과 보신주의를 버릴 용기와 한계와 고정관념을 돌파할 대담함까지 포함된 개념이다. 뉴 로컬리즘의 길을 차근차근 가다 보면, 어느 순간 절망의 공간이 희망의 현장으로 바뀌어 있을 것이다."
공공기관 경영평가 워크북,신수행,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
행정학
 > 
행정학일반",9.79116E+12,"공공기관 30년 경력의 성과관리부장이 쓴 경영평가 대응 3-6-9 전략
- 경영평가 준비 3 Point- 경영실적보고서 작성 6 Point- 평가등급을 향상시키는 9 Point저자가 공공기관에서 수년간 성과관리부장으로 근무하며 터득한 경영평가에 대한 지식과 경험을 담은 책이다. 모든 기관의 경영평가 실무자들이 경영평가에 대한 의미부터 실질적인 대응전략까지 쉽게 이해하고 배우며 실천할 수 있기를 바라는 마음에 책을 냈다.어느덧 경영평가제도가 도입된 지 40년이 지났다. 이제 경영평가제도는 글로벌 베스트프랙티스라 말할 수 있을 만큼 대한민국의 자랑이자 자산임에 틀림없다. 하지만 아쉽게도 경영평가의 노하우를 소개하는 자료는 매우 부족하다. 평가제도의 방향성과 이에 대한 대응방안을 쉽게 설명하는 책조차 없는 상황이다.우리나라의 공공기관이 왜, 무엇을, 그리고 어떻게 경영실적을 거두고 있는지를 널리 알릴 필요가 있고, 공공기관 경영평가 실무자들은 어떻게 대응해야 더 좋은 성과를 거둘 수 있는지를 참고할 수 있는 정리된 자료가 필요하다.〈공공기관 경영평가 워크북〉은 경영평가를 위해서 현업에서 무엇을 어떻게 준비해야 하고, 경영진 또한 어떤 주문을 해야 하는지를 담았다. 단지 눈앞에 다가온 경영평가를 잘 받기 위한 참고서가 될 수도 있지만, 궁극적인 목적은 치밀하게 업무를 분석하고 체계적으로 성과를 관리할 수 있는 방법을 습득하는데 있다.신완선 前 공기업경영평가단장 적극 추천“경영평가는 국가의 종합적인 발전을 위해 지혜를 모으는 일”“공공기관 경영평가의 의미부터 대응전략까지 총망라한 최초의 책”매년 경영평가를 받아야만 하는 숙명을 지닌 공공기관이 내년에 더 좋은 결과를 얻을 수 있는 변화가 필요하거나, 더 계획적이고 체계적인 평가 대응 시스템을 만들기 원하는 기관에게는 꼭 필요한 책이다. 특히 다음과 같은 환경에 처해 있는 공공기관 실무자라면 반드시 이 책을 정독하길 권한다.첫째, 정부와 지자체 등으로부터 새롭게 공공기관에 지정되어 경영평가를 받아야 하는 기관으로, 새롭게 경영평가 대응 시스템을 갖추어야 하는 경우.둘째, 경영평가를 받아온 기간이 짧은 기관으로, 현재 가지고 있는 경영평가 대응 시스템을 한 단계 업그레이드시키고 싶은 경우.셋째, 경영평가에서 매년 저조한 평가등급을 받아 실망하고 있는 기관으로, 우수등급 기관의 평가 대응 시스템을 벤치마킹하고 싶은 경우.넷째, 공공기관 특성상 평가대응 실무자는 매년 인사이동으로 변동한다. 교체되는 실무자가 경영평가 전반을 빠른 시간 내에 학습하고 이해하는 데 도움이 될 것이다."
