책 이름,작가,장르,ISBN,책 소개,,
LLM을 활용한 실전 AI 애플리케이션 개발,허정준,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
인공지능
 > 
인공지능일반",9.79119E+12,"트랜스포머 아키텍처부터 RAG 개발, 모델 학습, 배포, 최적화, 운영까지 라마인덱스와 LLM을 활용한 AI 애플리케이션 개발의 모든 것
이 책에서는 LLM의 기본 아키텍처에서 출발해 애플리케이션의 요구사항에 맞춰 LLM을 길들이고 제한된 컴퓨팅 환경에서 동작하게 경량화해서 원활하게 서빙하게끔 기초를 다진 다음에 RAG라는 LLM의 대표적인 애플리케이션을 만드는 방법을 차근차근 설명한다. 여기서 끝나지 않고 실제 운영과정에서 부딪히는 어려움을 해소하는 방법과 멀티 모달과 더불어 에이전트와 같은 고급 주제까지 다룬다. LLM 시대를 맞이하여 필수적으로 갖춰야 하는 개발 지식을 이론과 실무 양쪽 관점에서 설명하고 있으므로, 새로운 패러다임에 적응하고자 하는 개발자들에게 가뭄의 단비처럼 다가올 것이다.",,
비전공자도 이해할 수 있는 AI 지식(챗GPT 수록 개정판),박상길,"국내도서
 > 
과학
 > 
교양과학
 > 
과학이야기",9.79117E+12,"★★★챗GPT 수록 개정판★★★현직 전문가가 바라본 ‘챗GPT’의 실체와 미래“AI는 당신을 대체하지 않는다.AI를 이해하는 사람이 당신을 대체할 뿐이다.”
?독자가 선택한 가장 쓸모 있는 AI 교양서  ‘챗GPT’ 수록 개정판 출간2022년 과학 분야 베스트셀러, 《비전공자도 이해할 수 있는 AI 지식》이 2023년의 가장 거대한 화두, 챗GPT를 다룬 개정판을 출간했다. 기존 책에서도 GPT의 원리를 다루었으나 2023년 들어 대중에 알려진 챗GPT에 관한 AI 지식을 집중적으로 다룬 내용을 덧붙이고 챗GPT가 어떤 과정을 바탕으로 개발되었는지 그 배경과 원리를 친절하게 전한다. 나아가 GPT-3 이후 3년 만에 등장한 GPT-4가 이전 버전과 근본적으로 무엇이 다른지 살펴보면서 그 개발 의도를 알아보고 앞으로 일상에서 어떻게 쓰일지 예상해볼 수도 있다.챗GPT를 두고 빌 게이츠는 “1980년대 이후 가장 혁신적인 기술 발전이다”라고 했고 챗GPT 만든 오픈AI CEO 샘 올트먼은 AI 기술이 미칠 악영향에 대해 무섭다고도 고백했다. 관련 전문가들의 이러한 평가와 예측이 모이는 지점은 분명 챗GPT가 AI 기술의 새로운 분기점이라는 사실이다. 더구나 이 기술을 모든 사람이 무료로 체험할 수 있으니, 그 관심이 폭발한 것은 어쩌면 당연하다.챗GPT를 둘러싼 수많은 가능성과 두려움이 쏟아져 나오는 지금, 현업에서 AI 전문가로 활동하는 저자는 말한다. GPT 역시 공학의 산물이며 그 원리를 누구나 이해할 수 있다고 말이다. 나아가 AI가 인간을 대체할 수는 없지만, AI를 이해하는 사람은 그렇지 못한 사람을 대체한다고 말이다. 우리가 AI 원리를 이해해야 하는 이유도 여기에 있다.",,
최고의 프롬프트 엔지니어링 강의,김진중,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
인공지능
 > 
인공지능일반",9.79119E+12,"★ LLM의 기초 개념부터 제대로 파고드는 최고의 프롬프트 엔지니어링 강의
프롬프트 엔지니어링이라면 흔히 ‘AI에게 질문하는 방법’이라고 생각하는 경우가 많지만, 정확히 말하면 ‘AI로부터 높은 수준의 결과물을 얻기 위한 양질의 프롬프트를 구성하는 작업’이라고 할 수 있다. 우리가 작성하는 프롬프트가 단순히 검색 포털에 질문을 입력하는 수준에서 벗어나려면 LLM 작동 원리를 이해하여 체계적으로 프롬프트를 구성하는 작업이 반드시 필요하다. 이 책은 프롬프트 엔지니어링의 방대한 내용을 프로그래밍 지식이 없는 사람도 이해하고 접근하기 쉽도록 컴팩트하고 짜임새 있게 전달한다. 인공지능 시대를 살아가는 데 꼭 필요한 상식과도 같은 프롬프트 엔지니어링을 기초 개념부터 실습까지 누구나 체계적으로 학습할 수 있도록 했다.패스트캠퍼스의 인기 강의를 LLM 입문자도 학습하기 쉬운 형태로 재구성하였으며, 유튜브/블로그 제목 다듬기, 영어 단어장 만들기, 채용 인터뷰 질문 생성하기 등 실무에서 유용하게 사용할 수 있는 유형 위주로 실습 내용을 엄선하였다.",,
혼자 공부하는 머신러닝+딥러닝,박해선,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
인공지능
 > 
딥러닝/머신러닝",9.79116E+12,"혼자 해도 충분하다! 1:1 과외하듯 배우는 인공지능 자습서
이 책은 수식과 이론으로 중무장한 머신러닝, 딥러닝 책에 지친 ‘독학하는 입문자’가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. 구글 머신러닝 전문가(Google ML expert)로 활동하고 있는 저자는 여러 차례의 입문자들과 함께한 머신러닝&딥러닝 스터디와 번역ㆍ집필 경험을 통해 ‘무엇을’ ‘어떻게’ 학습해야 할지 모르는 입문자의 막연함을 이해하고, 과외 선생님이 알려주듯 친절하게 핵심적인 내용을 콕콕 집어준다. 컴퓨터 앞에서 〈손코딩〉을 따라하고, 확인 문제를 풀다 보면 그간 어렵기만 했던 머신러닝과 딥러닝을 개념을 스스로 익힐 수 있을 것이다!  - 베타리더가 함께 만든 입문서베타리딩 과정을 통해 입문자에게 적절한 난이도, 분량, 학습 요소 등을 고민하고 반영했다. 어려운 용어와 개념은 한 번 더 풀어 쓰고, 복잡한 설명은 눈에 잘 들어오는 그림으로 풀어 냈다. ‘혼자 공부해본’ 여러 입문자의 마음과 눈높이가 책 곳곳에 반영된 것이 이 책의 가장 큰 장점이다.",,
AI 영상 제작,민지영,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
인공지능
 > 
인공지능일반",9.79114E+12,"숏폼, 딥페이크부터광고, 여행 영상 및 커버곡까지 AI로 만드는 실무 영상 & 콘텐츠 제작
〈AI 영상 제작〉디지털 AI 시대, 딥페이크 기술의 발전으로 인해 AI로 만든 이미지부터 인간의 목소리와 노래, 영상이 실제처럼 보이는 상황은 일상이 되고 있다. 이미 방송 드라마나 영화에서 AI 영상을 이용하여 딥페이크, AI 기반의 디지털 휴먼, 및 AI를 활용한 영상 생성 및 복원 기술들은 영화와 드라마의 몰입감을 높이고, 새로운 차원의 시각적 경험을 제공하는 데 기여하고 있다. 이 책은 누구나 쉽고 빠르게 쇼츠나 릴스, 틱톡, 숏폼 영상과 유튜브 영상에 AI를 이용하여 놀라운 딥페이크 영상 제작 방법을 소개하고 있다. 영상 제작자나 콘텐츠 크리에이터, 그리고 마케팅 담당자가 손쉽게 필요한 영상 콘텐츠를 생성하고, 제작 시간과 비용을 줄이면서 높은 품질의 콘텐츠 제작할 수 있을 것이다. 현실화한 실무 AI 영상과 숏폼 콘텐츠 제작, 이 책에서 AI 영상 제작 노하우를 배워보자. 쇼츠, 릴스, 틱톡을 자유자재로!짧고 강력한 메시지가 담긴 개성 있는 숏폼 콘텐츠를 만들어 공유하고 수익도 창출한다. 누구나 쉽고 빠르게 콘텐츠 제작!광고 홍보 영상부터 웹툰 애니메이션 제작까지 AI 영상 자동화로 시간과 비용을 절약한다. 놀라운 딥페이크 기술의 세계!목소리 커버부터 AI 합성 비주얼 효과까지 현실과 가상의 경계가 사라지는 AI 영상의 발전을 경험한다.",,
혼자 공부하는 컴퓨터 구조+운영체제,강민철,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
컴퓨터구조",9.79116E+12,"혼자 해도 충분합니다! 1:1 과외하듯 배우는 IT 지식 입문서42명의 베타리더 검증으로, ‘함께 만든’ 입문자 맞춤형 도서
이 책은 독학으로 컴퓨터 구조와 운영체제를 배우는 입문자가 ‘꼭 필요한 내용을 제대로 학습’할 수 있도록 구성했다. 뭘 모르는지조차 모르는 입문자의 막연한 마음에 십분 공감하여 과외 선생님이 알려주듯 친절하게, 핵심 내용만 콕콕 집어 준다. 〈컴푸터 구조〉편에서는 컴퓨터를 이루고 있는 부품들과 각 부품의 역할을 알아본다. 또한 컴퓨터 내부의 구조와 작동법을 이해하고, 컴퓨터가 어떻게 명령어를 처리하는지 학습한다. 〈운영체제〉편에서는 운영체제의 필요성을 배운 뒤 앞서 배운 컴퓨터의 부품들을 운영체제가 어떻게 사용하는지 전체 과정을 살펴본다. ‘전공서가 너무 어려워서 쉽게 배우고 싶을 때’, ‘개발자가 되고 싶은데 뭐부터 봐야 하는지 모를 때’ ‘기술 면접을 제대로 준비해야 할 때’ 다른 입문서에서는 알려주지 않았던 진짜 컴퓨터 공학 지식을 〈혼자 공부하는 컴퓨터 구조+운영체제〉에서 만나 보자! 42명의 베타리더와 함께 입문자에게 꼭 맞는 난이도, 분량, 학습 요소 등을 적극 반영했다. 어려운 용어와 개념은 한 번 더 풀어 쓰고, 적절한 예시와 이해하기 쉬운 그림으로 누구나 이해할 수 있도록 구성했다. 또한 일상 소재를 활용한 비유를 활용하여 어렵게 느껴질 수 있는 컴퓨터 구조와 운영체제를 머릿속에 직접 그리듯이 설명해 준다. ‘혼자 공부해 본’ 여러 입문자의 초심과 눈높이가 책 곳곳에 반영된 것이 이 책의 가장 큰 장점이다.",,
AI 전쟁,하정우,"국내도서
 > 
경제/경영
 > 
각국경제
 > 
한국경제",9.79116E+12,"챗GPT로 촉발된 글로벌 AI 전쟁 시대, 대한민국 인공지능 생태계는 어떻게 될 것인가?국내 최고 AI 전문가 하정우 네이버 AI혁신센터장이 말하는 한국 인공지능의 경쟁력과 미래고진, 김성훈, 박태웅, 배순민, 오순영, 장동선, 장병탁…국내 AI 업계와 학계 리더들의 강력 추천!
2023년 현재, 세계는 AI 전쟁 중이다. 2022년 11월 오픈AI는 GPT-3.5로 모두를 경악하게 만들었고, 올해 3월 GPT-4를 공개하면서 또다시 세계를 발칵 뒤집어놓았다. 이에 뒤질세라 메타(페이스북)에선 라마를, 구글에서는 바드를, 아마존에서는 베드록을 출시하는 등 지금 글로벌 빅테크 기업들은 인공지능 시장을 선점하기 위해 각축전을 벌이고 있다.그렇다면 한국의 인공지능은 어떠한가? 전 세계가 너도나도 AI 전쟁에 참전하는 지금, 한국의 인공지능 산업은 어디로 나아가고 있는가? 이제 챗GPT 열풍을 냉정히 평가하고, 우리나라의 인공지능 현주소를 직시할 때다. 우리 입장에서 어떤 미래가 올지 본격적으로 모색할 시점이 된 것이다. 많은 미디어와 서적들이 챗GPT 열풍에 들떠 해외 기술과 세계적 트렌드를 소개할 때 이 책은 바로 대한민국 인공지능의 현재와 미래를 조망한다. 이 책은 하정우 네이버 클라우드 AI혁신센터장의 생생한 목소리를 통해 우리 각자가 이 엄청난 파고에 어떻게 대응해야 하고 무엇을 준비해야 하는지를 깊이 있게 다루고 있다. 하정우 센터장은 현재 한국 인공지능 분야에서 가장 중요한 인물로, 자타공인 국내 최고의 AI 전문가다. AI 업계와 학계 전문가들이 너나없이 이 책을 반기며 추천하는 이유도 바로 여기에 있다. 어디서도 들을 수 없는 최전선 현장 이야기이기 때문이다. 이제, 인공지능의 시선을 우리 안으로 들여올 때다. 대한민국 인공지능의 현재와 미래가 궁금하고, 그 속에서 비즈니스 기회와 가능성을 찾을 수 있는 책이다.",,
제가 만든 GPT는 당신이 만든 GPT와 전혀 다릅니다,유호석,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
인공지능
 > 
인공지능일반",9.7912E+12,"상위 1% GPT를 만드는 가장 쉬운 방법
ChatGPT 등장 이후 누구나 쉽게 고성능의 맞춤형 AI 챗봇을 만들 수 있는 시대가 되었다. 『제가 만든 GPT는 당신이 만든 GPT와 전혀 다릅니다』는 100개 이상의 GPT를 직접 개발하고 마케팅, 기획, 코딩, 디자인, 교육 등 다양한 영역에서 활용하고 있는 저자가 GPT를 만들어 본 경험을 심층적으로 다루고 있는 책이다. 이 책은 어디에도 정리된 적 없는 GPT 아이디어 기획부터 출시까지의 과정, 더 똑똑한 GPT를 만들기 위한 효과적인 프롬프트 작성 팁과 GPT 기능 활용법, 차별화된 초격차 GPT를 만들기 위한 GPT 지식 및 API 활용법, 그리고 GPT를 마케팅하고 수익화하는 전략까지 집대성했다. 개발자가 아니어도, 복잡한 프로그래밍 지식이 없어도 저자가 만들어 국내에서 인기를 얻은 GPT를 직접 따라해 볼 수 있도록 구성했다. 이 책 한 권만 따라해도 시행착오 없이 인기 GPT 10개 이상을 만들어 보는 것은 물론, 상위 1%들의 GPT 만드는 최고의 노하우를 가장 쉬운 방법으로 배울 수 있다.",,
Clean Code(클린 코드),로버트 C. 마틴,"국내도서
 > 
컴퓨터/IT
 > 
IT일반
 > 
IT교양서/IT에세이",9.78897E+12,"프로그래머, 소프트웨어 공학도, 프로젝트 관리자, 팀 리더, 시스템 분석가에게 도움이 될더 나은 코드를 만드는 책
『Clean Code(클린 코드)』은 오브젝트 멘토(Object Mentor)의 동료들과 힘을 모아 ‘개발하며’ 클린 코드를 만드는 최상의 애자일 기법을 소개하고 있다. 소프트웨어 장인 정신의 가치를 심어 주며 프로그래밍 실력을 높여줄 것이다. 여러분이 노력만 한다면. 어떤 노력이 필요하냐고? 코드를 읽어야 한다. 아주 많은 코드를. 그리고 코드를 읽으면서 그 코드의 무엇이 옳은지, 그른지 생각도 해야 한다. 좀 더 중요하게는 전문가로서 자신이 지니는 가치와 장인으로서 자기 작품에 대한 헌신을 돌아보게 된다.",,
켄트 벡의 Tidy First?: 더 나은 소프트웨어 설계를 위한 32가지 코드 정리법,켄트 벡,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
소프트웨어공학",9.79117E+12,"익스트림 프로그래밍의 창시자, 켄트 벡그의 수십 년 경험과 통찰이 담겨 있는 ‘경험적 소프트웨어 설계’ 노하우
* 저자와 옮긴이가 함께 만든 책* 옮긴이 노트(별책부록) 특별 구성: 켄트 벡과 옮긴이의 소통 기록 + 옮긴이 특별 부록익스트림 프로그래밍(XP)의 창시자이자 소프트웨어 패턴의 선구자, 켄트 벡이 10년 만에 돌아왔습니다. 격변의 시기에 놓인 우리를 위한 그의 첫 번째 조언은, 시스템의 전체적인 구조를 생각하며 코드를 작성하고, 복잡한 코드는 논리적인 작은 조각으로 정리하는 방법입니다. 이 코딩 노하우를 32가지로 책에 간결하게 정리했으며, 소프트웨어 설계의 기반이 되는 결합도, 응집도, 설계 옵션, 비용 등에 대한 저자만의 인사이트도 함께 담았습니다. 더 나은 프로그래밍을 할 수 있는 방법이 바로 여기에 있습니다.",,
