책 이름,작가,장르,ISBN,책 소개,추천단어
모순,양귀자,"국내도서
 > 
소설
 > 
한국소설
 > 
한국소설일반",9790000000000.0,"※본 도서의 표지 색상은 2쇄를 주기로 변경됩니다. 등록된 이미지와 다른 색의 표지가 발송될 수 있습니다.※인생은 살아가면서 탐구하는 것!
양귀자 소설의 힘을 보여준 베스트셀러 『모순』. 1998년에 초판이 출간된 이후 132쇄를 찍으며 여전히 많은 사랑을 받고 있는 작품을, 오래도록 소장할 수 있는 양장본으로 새롭게 선보인다. 스물다섯 살 미혼여성 안진진을 통해 모순으로 가득한 우리의 인생을 들여다본다. 작가 특유의 섬세한 문장들로 여러 인물들의 삶을 생생하게 그려내고 있다.시장에서 내복을 팔고 있는 억척스런 어머니와 행방불명 상태로 떠돌다 가끔씩 귀가하는 아버지, 조폭의 보스가 인생의 꿈인 남동생을 가족으로 둔 안진진. 어머니와 일란성 쌍둥이인 이모는 부유하지만 지루한 삶에 지쳐 있고, 가난한 어머니는 처리해야 할 불행들이 많아 지루할 틈이 없다. 안진진은 사뭇 다른 어머니와 이모의 삶을 바라보며 모순투성이인 삶을 어떻게 이해해야 하는지 고민하기 시작하는데….
이 작품이 출간된 지 15년, 모순으로 얽힌 삶은 여전히 어렵기만 하지만 인생을 그냥 흘려보내고 있는 많은 사람들에게 새롭게 인생을 돌아보는 계기를 마련해준다. 일상의 지극히 사소한 에피소드들을 선별해 들려주며, 인생은 그냥 받아들이는 것이 아니라 탐구하면서 살아야 하는 것임을 이야기한다.","처리,소설,사람,보스,양장본,양귀자,초판,어머니,투성이,색상,미혼여성,계기,문장,이미지,이모,특유,에피소드,베스트셀러,사랑,표지,인물,소장,행방불명,고민,내복,탐구,작가,스물,변경,쌍둥이,작품,귀가,상태,등록,인생,시장,아버지,불행,일상,시작,마련,조폭,주기,이야기,발송,가족,도서,남동생,모순"
죽이고 싶은 아이 2,이꽃님,"국내도서
 > 
청소년
 > 
청소년 소설
 > 
한국",9790000000000.0,"“이 이야기를 쓰지 않고서는 다른 작품을 쓰기 어렵겠다고 생각했다.”한국 청소년 문학의 가장 뜨거운 이슈 이꽃님의 『죽이고 싶은 아이』 그 완벽한 결말
기다림은 끝났다. 압도적인 몰입감과 휘몰아치는 전개로 수십만 청소년 독자를 단숨에 사로잡은 『죽이고 싶은 아이』 두 번째 이야기가 지금 우리에게 도착했다. 기대 그 이상의 완벽한 속편의 모습으로. “첫 번째 이야기가 진실과 믿음에 관한 이야기였다면, 두 번째 이야기는 산산조각 난 삶을 일으켜 세우는 이야기이다. 이야기를 써 내려 가면서 얼마나 눈물을 쏟았는지 모르겠다. 아무리 무너져 내린 삶이라도 다시 일으켜 세워야만 하는 것이 삶이므로.” - 이꽃님, ‘작가의 말’ 중에서한순간도 방심할 수 없는 이야기가 끝나고 모든 단서가 조각난 퍼즐처럼 맞춰지는 순간, 숨죽여 이를 지켜보던 독자들은 자기도 모르게 뜨거운 눈물을 흘리게 될 것이다. 그래서 이 책은 ‘절망의 끝에서 피어나는 희망에 관한 이야기’이다. 이 오래된, 그러나 결코 포기할 수 없는, 청소년 문학의 존재 이유이기도 한 메시지를 누가 이토록 ‘재미’있게 ‘감동’적으로 창조해 낼 수 있을까? 이야기 본연의 힘으로, 이 책에서 비로소 온기 가득한 이꽃님 월드는 완성된다.","한국,전개,독자,눈물,퍼즐,순간,쓰기,감동,꽃님,한순간,이유,진실,문학,믿음,결말,단숨,온기,기다림,희망,창조,청소년,조각,절망,도착,포기,작가,작품,메시지,생각,재미,완성,이슈,본연,산산조각,존재,단서,이야기,월드,기대,모습,속편,몰입,압도"
우리에게 남은 시간 46일,이설,"국내도서
 > 
소설
 > 
한국소설
 > 
한국소설일반",9790000000000.0,"〈우리에게 남은 시간이 46일〉 이 소설은 시한부인 해인의 곁에서 슬퍼하며, 끝까지 사랑과 지지를 아끼지 않는 우현의 슬픈 사랑이야기를 담고 있다. 마지막까지 절대 포기하지 않는 그들의 사랑은 독자의 마음을 짙게 울릴 것이다. 이 책은 우리에게 삶의 소중함과 사랑의 힘을 되새기게 해주는 인상적인 작품이다.","우현,지지,절대,부인,소설,이야기,독자,작품,마지막,시한,해인,사랑,인상,포기,마음"
홍학의 자리,정해연,"국내도서
 > 
소설
 > 
한국소설
 > 
미스터리/스릴러소설",9790000000000.0,"“이 행복이 영원할 거라고 생각한 적은 없었다.그러나 이런 끝을 상상한 적도 없었다.”예측 불가! 한국 미스터리 사상 전무후무한 반전!
10년 가까이 스릴러 장르에 매진하며 장편 단편 할 것 없이 독자들의 눈길을 사로잡는 작품을 발표한 정해연 작가의 신작이 엘릭시르에서 출간됐다. 『홍학의 자리』는 한 남자가 사체를 호수에 유기하는 장면으로 이야기의 문을 연다. “호수가 다현의 몸을 삼켰다”라는 문장으로 시작해 “그런데, 다현은 누가 죽였을까?”라는 문장으로 끝나는 프롤로그는 이것만으로 독자의 호기심을 불러일으키기 충분하다. 정해연 작가의 장점은 누구나 궁금해할 만한 설정과 이야기 전개. 『홍학의 자리』는 그런 그의 장점이 최고조에 달한 작품이다. 프롤로그를 시작으로 총 21개의 챕터로 구성된 이 작품은 매 챕터마다 놀라운 전개를 보이며 다음 챕터를 읽지 않고서는 배기지 못할 만큼 탁월한 스토리텔링을 보여준다. 특히나 차근차근 쌓아 올려 절정의 순간 터지는 클라이맥스의 진상은 한국 미스터리에서 찾아보기 힘든 반전이 분명하다. 하지만 『홍학의 자리』는 단순히 반전 하나만을 바라보고 치닫는 ‘반전 미스터리’가 아니다. 그 반전이 빛나는 것은 짜임새 있는 플롯과 완성도 높은 캐릭터가 모여 이야기의 재미를 한껏 끌어올렸기 때문이다. 이 작품의 반전은 충격적일 만큼 놀랍지만 반전을 빼고서도 작품의 매력은 가시지 않는다. 스릴러 작가로서 정해연 작가를 높이 평가하지 않을 수 없는 지점이 바로 여기에 있으며, 곧바로 다음 작품을 기대하게 만드는 이유도 바로 거기에 있다.","한국,단편,전개,진상,호기심,독자,거기,전무후무,플롯,평가,곧바로,충격,눈길,장편,지점,문장,스토리텔링,짜임새,스릴러,만큼,사체,매진,작가,장면,작품,신작,미스터리,구성,장점,재미,예측,생각,차근차근,정해,발표,시작,배기,가시,유기,다현,최고,엘릭시르,이야기,호수,남자,자리,적도,매력,불가,설정"
죽이고 싶은 아이,이꽃님,"국내도서
 > 
청소년
 > 
청소년 소설
 > 
한국",9790000000000.0,"『세계를 건너 너에게 갈게』 작가 이꽃님 신작“팩트는 중요하지 않아. 사람들이 믿는 게 더 중요하지.”조각난 진실과 부서진 믿음에 관한 이야기
십 대들의 외롭고 불안한 내면을 따뜻하게 어루만져 주는 작품으로 주목받아 온 이꽃님 작가가 결말을 예측할 수 없는, 놀랍도록 흡인력 있는 작품으로 돌아왔다. 『죽이고 싶은 아이』는 한 여고생의 죽음이라는, 결코 평범하지 않은 이야기를 통해 독자들에게 진실과 믿음에 관한 이야기를 건넨다. 소설의 주인공인 주연과 서은은 둘도 없는 단짝 친구다. 두 사람이 크게 싸운 어느 날, 학교 건물 뒤 공터에서 서은이 시체로 발견되고 가장 유력한 용의자로 주연이 체포된다. 그런데 어찌 된 일인지 주연은 그날의 일이 도무지 기억나지 않는다. 주연은 정말 서은을 죽였을까? 이야기는 주연과 서은에 대해 증언하는 열일곱 명의 인터뷰와 주연의 주변 인물들의 이야기가 교차되는 독특한 방식으로 전개된다. 인터뷰이에 따라 주연과 서은이 어떤 아이였는지, 둘의 관계는 어땠는지가 시시각각 변모해 간다. 반전에 반전을 거듭하며 독자를 혼란에 빠뜨리는 예측 불가능한 전개는 독자들에게 끝까지 책을 손에서 놓지 못하게 하는 엄청난 몰입감을 선사한다. 『죽이고 싶은 아이』는 보이는 대로만 보고 듣고 싶은 말만 듣고 믿고 싶은 것만 믿는 사람들로 가득한 세상이 얼마나 야만적인지를 독자들의 눈앞에 생생하게 펼쳐 보인다. 이꽃님 작가의 전작들이 십 대들에게 건네는 다정한 위로였다면, 『죽이고 싶은 아이』는 십 대들의 곁에 선 작가가 진실이 멋대로 편집되고 소비되는 세상에 던지는 서늘한 경고라고 할 수 있다.","주변,소설,독자,사람,도무지,눈앞,경고,소비,꽃님,인지,단짝,흡인,시체,혼란,주연,팩트,믿음,주목,대해,체포,용의자,인물,조각,여고생,위로,작가,거듭,크게,신작,작품,그날,예측,명의,일인,건물,서은,증언,죽음,학교,건너,이야기,정말,반전,세계,전작,선사,발견,몰입,멋대로"
구의 증명,최진영,"국내도서
 > 
소설
 > 
한국소설
 > 
한국소설일반",9790000000000.0,"만약 네가 먼저 죽는다면나는 너를 먹을 거야.그래야 너 없이도 죽지 않고 살 수 있어.
사랑 후 남겨진 것들에 관한 숭고할 만큼 아름다운 이야기최진영 소설 《구의 증명》은 사랑하는 연인의 갑작스러운 죽음 이후 겪게 되는 상실과 애도의 과정을 통해 삶의 의미 혹은 죽음의 의미를 되묻는 소설이다. 이 작품에서 최진영은 퇴색하지 않는 사랑의 가치를 전면에 내세우고 아름다운 문장과 감성적이며 애절한 감수성을 통해 젊고 아름다운 남녀의 열정적인 사랑과 냉정한 죽음에 대해 세련된 감성과 탁월한 문체로 담아내고 있다.","소설,증명,상실,먼저,전면,문장,감수성,대해,열정,사랑,만큼,과정,가치,애도,퇴색,남녀,의미,감성,작품,죽음,최진영,이야기,래야,문체,죽지,연인,구의"
두 사람의 인터내셔널,김기태,"국내도서
 > 
소설
 > 
한국소설
 > 
한국소설일반",9790000000000.0,"바로 지금, 한국문학의 가장 뜨거운 신인2024 젊은작가상 수상 작가 김기태 첫 소설집
2020년대의 한국문학을 밝힌 신성新星으로 김기태를 논하지 않을 수 있을까. 2022년 동아일보 신춘문예에서 “근래 보기 드문 강력하고 단단한 작품” “처음부터 끝까지 단숨에 읽히게 만드는 흡인력이 돋보인다”는 평을 받으며 데뷔한 김기태는 “범상치 않은 작가의 출현을 예고”한다는 당시 심사평 그대로 2년 동안 한국 문학계를 종횡무진 누볐다. 2024 젊은작가상(「보편 교양」)과 2번의 이상문학상 우수상(「세상 모든 바다」 「팍스 아토미카」)을 수상하고, 3번의 문학과지성사 ‘이 계절의 소설’(「전조등」 「롤링 선더 러브」 「보편 교양」), 2번의 ‘올해의 문제소설’(「전조등」 「롤링 선더 러브」)에 선정되었으며, 표제작 「두 사람의 인터내셔널」은 SNS에서 입소문을 타고 화제가 되어 문장 웹진 역대 조회수 3위에 오르기도 했다. 이처럼 등단 이후 발표한 작품마다 매번 어김없이 화제를 불러일으킨 김기태의 첫걸음이 한국 문학계에 있어서도 이례적인 역사가 되었음은 자명하다. 그렇게 바로 지금, 한국문학의 가장 뜨거운 신인이 된 김기태의 첫 소설집 『두 사람의 인터내셔널』이 문학동네에서 출간되었다.평단과 독자 대중 모두의 열렬한 지지와 기대가 김기태로 모일 수 있었던 이유는 어떤 독자든 그 안에서 스스로를 발견하고 타인을 친근한 정감으로 맞이하게 하는 리얼리즘에 있었다. 학생 주도적인 새 교육정책을 배경으로 2020년대의 교육 현장에서 벌어지는 노력과 무력감을 다룬 「보편 교양」, 사랑이 언제든 악의로 뒤바뀌곤 하는 아이돌 산업의 명암을 톺아보는 「세상 모든 바다」 「로나, 우리의 별」은 우리 시대의 보편적인 단면을 첨예하게 파고든다. 한편 인터넷 커뮤니티에서 무한히 재생산되는 밈을 주고받으며 가까워지는 두 남녀의 이야기인 「두 사람의 인터내셔널」, 일반인 데이트 예능 〈솔로농장〉에서 사람들의 눈에 들기 위해 온갖 우스운 미션을 수행하는 「롤링 선더 러브」는 읽는 이를 꽁꽁 옭아매는 탁월한 페이지 터너의 등장을 직감케 하기도 한다. 만약 당신이 한국문학의 오랜 지지자였다면, 김기태는 2020년대의 세태소설을 재설정하는 진중한 시도로 당신을 즐겁게 할 것이다. 반면 당신이 한국문학으로부터 잠시 떠나와 있었다면, 김기태는 당신에게 소설이 선사할 수 있는 재미와 의미를 새롭게 각인시키는 산뜻한 충격이 될 것이다.위선이든, 허위든, 혹은 정말로 고결함이든, 세상과의 불화는 무너지는 순간, 에너지를 발생시킨다. 파괴하는 에너지. 그리고 질문을 남긴다. 김기태의 소설이 갖는 미덕이다._김인숙(소설가), 2024 젊은작가상 심사평에서연애 리얼리티 프로그램에 출연하려고 신청서를 넣는 사람, 좋아하는 아이돌을 응원하려고 땀을 흘리며 형광봉을 흔드는 사람, 인터넷 쇼핑몰에서 낮은 가격 순으로 물건을 검색하는 사람…… 김기태의 소설에서는 이런 사람이 응원받는다. 소설이 누구를 응원하고자 하는지가 너무도 중요한 내게, 김기태의 소설은 완전한 기쁨을 주었다. 건조하지만 극진하고, 세심하지만 드넓은 문체. 한 방향으로 뻗어나가는 이야기의 힘. 나는 김기태가 응원의 태도를 발명하고 있다고 여겼다. 좋아하는 노래가 담긴 플레이리스트를 전하는 마음으로 이 소설을 추천한다. _임솔아(소설가)","심사평,한국,김기태,터너,배경,출연,교양,문학계,선정,역사,허위,각인,프로그램,연애,신춘문예,상치,위선,데이트,임솔아,무한,맞이,이상문학상,화제,인터내셔널,남녀,농장,신성,리얼리티,회수,롤링,스스로,소설가,정책,페이지,추천,검색,팍스,지지자,무력감,문학과지성사,이야기,이처럼,발생,꽁꽁,불화,선더,문체,전하,미션,시대"
불편한 편의점(벚꽃 에디션),김호연,"국내도서
 > 
소설
 > 
한국소설
 > 
한국소설일반",9790000000000.0,"원 플러스 원의 기쁨, 삼각김밥 모양의 슬픔, 만 원에 네 번의 폭소가 터지는 곳!힘겨운 시대를 살아가는 우리들에게 다가온 조금 특별한 편의점 이야기
2013년 세계문학상 우수상 수상작 『망원동 브라더스』로 데뷔한 후 일상적 현실을 위트 있게 그린 경쾌한 작품과 인간의 내밀한 욕망을 기발한 상상력으로 풀어낸 스릴러 장르를 오가며 독자적인 작품 세계를 쌓아올린 작가 김호연. 그의 다섯 번째 장편소설 『불편한 편의점』이 출간되었다. 『불편한 편의점』은 청파동 골목 모퉁이에 자리 잡은 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶의 속내와 희로애락을 따뜻하고 유머러스하게 담아낸 작품이다. 『망원동 브라더스』에서 망원동이라는 공간의 체험적 지리지를 잘 활용해 유쾌한 재미와 공감을 이끌어냈듯 이번에는 서울의 오래된 동네 청파동에 대한 공감각을 생생하게 포착해 또 하나의 흥미진진한 ‘동네 이야기’를 탄생시켰다.서울역에서 노숙인 생활을 하던 독고라는 남자가 어느 날 70대 여성의 지갑을 주워준 인연으로 그녀가 운영하는 편의점에서 야간 알바를 하면서 이야기가 시작된다. 덩치가 곰 같은 이 사내는 알코올성 치매로 과거를 기억하지 못하는 데다 말도 어눌하고 행동도 굼떠 과연 손님을 제대로 상대할 수 있을까 의구심을 갖게 하는데 웬걸, 의외로 그는 일을 꽤 잘해낼 뿐 아니라 주변 사람들을 묘하게 사로잡으면서 편의점의 밤을 지키는 든든한 일꾼이 되어간다.현실감 넘치는 캐릭터와 그들 간의 상호작용을 점입가경으로 형상화하는 데 일가견이 있는 작가의 작품답게 이 소설에서도 독특한 개성과 사연을 지닌 인물들이 차례로 등장해 서로 티격태격하며 별난 관계를 형성해간다. 고등학교에서 역사를 가르치다 정년퇴임하여 매사에 교사 본능이 발동하는 편의점 사장 염 여사를 필두로 20대 취준생 알바 시현, 50대 생계형 알바 오 여사, 매일 밤 야외 테이블에서 참참참(참깨라면, 참치김밥, 참이슬) 세트로 혼술을 하며 하루의 스트레스를 푸는 회사원 경만, 마지막이라는 각오로 청파동에 글을 쓰러 들어온 30대 희곡작가 인경, 호시탐탐 편의점을 팔아치울 기회를 엿보는 염 여사의 아들 민식, 민식의 의뢰를 받아 독고의 뒤를 캐는 사설탐정 곽이 그들이다. 제각기 녹록지 않은 인생의 무게와 현실적 문제를 안고 있는 이들은 각자의 시선으로 독고를 관찰하는데, 그 과정에서 발생하는 오해와 대립, 충돌과 반전, 이해와 공감은 자주 폭소를 자아내고 어느 순간 울컥 눈시울이 붉어지게 한다. 그렇게 골목길의 작은 편의점은 불편하기 짝이 없는 곳이었다가 고단한 삶을 위로하고 웃음을 나누는 특별한 공간이 된다.","공간,티격태격하,하루,참치,등장,사장,기억,무게,실감,기회,웃음,무대,김호연,체험,인간,본능,고단,망원동,사내,사설탐정,발동,사연,여사,수상작,치가,활용,입가,희로애락,일꾼,여성,데뷔,개성,그린,참이슬,일상,회사원,충돌,모퉁이,웬걸,노숙인,매일,혼술,운영,탄생,반전,남자,알바,인연,슬픔,골목"
사랑과 결함,예소연,"국내도서
 > 
소설
 > 
한국소설
 > 
한국소설일반",9790000000000.0,"이효석문학상 · 문지문학상 · 황금드래곤문학상 수상 작가예소연 첫 소설집
데뷔 3년 만에 이효석문학상·문지문학상·황금드래곤문학상을 석권하며 한국문학의 기대주로 자리매김한 예소연의 첫 소설집 『사랑과 결함』이 출간되었다. 2021년 『현대문학』 신인추천을 통해 작품활동을 시작한 예소연은 “옳은 이야기를 하려는 소설이 아니라 감각하는 바를 이야기하는 소설”(편혜영)이라는 예감에 값하듯 애써 무언가를 증명하기보다 있는 그대로 보여주는 작품을 발표하며 시시각각 변화하는 동시대의 감수성을 증언해왔다.한 작가의 시작을 알리듯 뜨거운 박력이 느껴지는 이번 소설집에는 2023년 문지문학상 수상작 「사랑과 결함」, 문학과지성사 ‘이 계절의 소설’ 선정작 「우리는 계절마다」 「그 개와 혁명」을 비롯해 총 열 편의 작품이 수록되었다. 「그 개와 혁명」은 8월 초 발표 예정인 2023년 이효석문학상 대상 후보작에도 이름을 올리며 또 한번 기대를 모으고 있다.달콤한 사랑 이야기가 범람하는 시대에 ‘사랑’과 ‘결함’을 나란히 두겠다는 결심은 무엇일까. 이번 소설집의 인물들은 사랑한다는 이유로 서로를 갉아먹고 훼손하다가 언제 그랬냐는 듯 다시 사랑을 다짐한다. 한여름의 복판에 우리를 찾아온 이 소설은 어쩌면 풋풋하고 싱그럽기보다 “축축하고 퀴퀴한”(「사랑과 결함」, 188쪽) 이야기에 가까울지도 모른다. 그럼에도 이 진창에 발을 들이길 택한다면, 언제고 이 ‘미운 사랑 이야기’가 불쑥불쑥 떠오를 것이다. 이게 진짜 사랑이라고, 사랑의 민낯이 여기에 있다고, 우리 이런 사랑을 하자고 자꾸 말하고 싶어질 것이다. 마음속 깊숙이 자리한 못나고 비루한 속내를 외면하지 않는 용기, 슬픔과 불행을 견디거나 이겨내기보다 한껏 누리며 살아가겠다는 다짐. 그것은 예소연이 우리 앞에 펼쳐 보일 사랑의 모양이다.","기보,문지,그대로,대의,소설,증명,편혜영,국문학,한번,이효석,석권,이유,대상,결심,용기,자꾸,황금,수상,소연,사랑,현대문학,복판,다짐,수상작,불쑥,감각,후보,편의,모양,데뷔,불행,내기,시작,발표,추천,증언,수록,박력,문학과지성사,마음속,이야기,계절,변화,기대,혁명,자리,슬픔,시시각각,한여름,시대"
나의 돈키호테,김호연,"국내도서
 > 
소설
 > 
한국소설
 > 
한국소설일반",9790000000000.0,"150만 독자가 사랑한 『불편한 편의점』 김호연 작가 신작“그 시절 우리는 모두 주인공이었다”2024년 봄, 또 한 번 찾아온 가슴 따뜻한 우리들의 이야기
150만 독자가 애독하며 수만 개의 입소문 리뷰를 탄생시킨 국민 힐링소설 『불편한 편의점』의 작가 김호연이 신작 소설 『나의 돈키호테』로 돌아왔다. 2021년 출간되어 우리들 지친 삶에 큰 위로를 준 『불편한 편의점』은 독자의 열렬한 호응에 후속작 『불편한 편의점 2』를 선보이며 재미와 감동을 보장하는 시리즈로 자리 잡았다. 작품의 인기가 지속될수록 독자들은 작가의 다음 소설을 기다리게 되었고, 그가 또 어떤 흥미로운 이야기를 들려줄지 관심이 쏠렸다. 2024년 4월, 드디어 신작이 베일을 벗었다.","호응,힐링,보장,가슴,소설,독자,애독,후속작,감동,관심,김호연,수만,사랑,리뷰,위로,작가,국민,작품,신작,재미,편의점,베일,주인공,소문,시리즈,돈키호테,이야기,인기,지속,탄생,자리,시절"
